GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0A024QZ57	CLN8	GO:0001306	age-dependent response to oxidative stress	9606	CLN8,hCG_15110	P
UniProtKB	A0A024QZ86	TBX2	GO:0007569	cell aging	9606	TBX2,hCG_32216	P
UniProtKB	A0A024QZF1	hCG_19665	GO:0007569	cell aging	9606	hCG_19665	P
UniProtKB	A0A024R0L5	GSK3A	GO:0007568	aging	9606	GSK3A,hCG_21895	P
UniProtKB	A0A024R0Q6	ERCC1	GO:0010259	multicellular organism aging	9606	ERCC1,hCG_20728	P
UniProtKB	A0A024R0Q6	ERCC1	GO:0090399	replicative senescence	9606	ERCC1,hCG_20728	P
UniProtKB	A0A024R141	CTSL2	GO:0010259	multicellular organism aging	9606	CTSL2,hCG_1746233	P
UniProtKB	A0A024R1X5	BECN1	GO:0007568	aging	9606	BECN1,hCG_16958	P
UniProtKB	A0A024R2B3	BCL2	GO:0007569	cell aging	9606	BCL2,hCG_34092	P
UniProtKB	A0A024R3C7	ATM	GO:0008340	determination of adult lifespan	9606	ATM,hCG_38040	P
UniProtKB	A0A024R5N5	UCP2	GO:0007568	aging	9606	UCP2,hCG_27329	P
UniProtKB	A0A024R5P1	PICALM	GO:0090647	modulation of age-related behavioral decline	9606	PICALM,hCG_1730090	P
UniProtKB	A0A024R713	DLD	GO:0007568	aging	9606	DLD,hCG_17110	P
UniProtKB	A0A024R718	PBEF1	GO:0007568	aging	9606	PBEF1,hCG_18025	P
UniProtKB	A0A024R7V4	PENK	GO:0007568	aging	9606	PENK,hCG_40756	P
UniProtKB	A0A024R819	NUDT1	GO:0007568	aging	9606	NUDT1,hCG_18431	P
UniProtKB	A0A024R904	CACYBP	GO:0007568	aging	9606	CACYBP,hCG_2024873	P
UniProtKB	A0A024R9Q9	PPARGC1A	GO:0007568	aging	9606	PPARGC1A,hCG_1811770	P
UniProtKB	A0A024RAG6	ADIC	GO:0007568	aging	9606	ADIC,C1QA,hCG_1981379	P
UniProtKB	A0A024RAP2	HMGCR	GO:0007568	aging	9606	HMGCR,hCG_1757337	P
UniProtKB	A0A024RBC7	ATP2B1	GO:0007568	aging	9606	ATP2B1,hCG_27605	P
UniProtKB	A0A024RBQ4	TBX3	GO:0007569	cell aging	9606	TBX3,hCG_40340	P
UniProtKB	A0A024RCX5	CDKN1A	GO:0090399	replicative senescence	9606	CDKN1A,hCG_15367	P
UniProtKB	A0A024RDS4	GJB6	GO:0007568	aging	9606	GJB6,CXNF,hCG_1643047	P
UniProtKB	A0A024RDW8	COL4A2	GO:0007568	aging	9606	COL4A2,hCG_33042	P
UniProtKB	A0A059NXK6	ARKL2	GO:0010259	multicellular organism aging	9606	ARKL2	P
UniProtKB	A0A068F658	GBA	GO:0008340	determination of adult lifespan	9606	GBA	P
UniProtKB	A0A075B6G3	DMD	GO:0007568	aging	9606	DMD	P
UniProtKB	A0A087WSW0	HELT	GO:0010259	multicellular organism aging	9606	HELT	P
UniProtKB	A0A090N8Y6	GHRHR	GO:0008340	determination of adult lifespan	9606	GHRHR,hCG_37325,tcag7.683	P
UniProtKB	A0A0A0MR51	FADS1	GO:0007568	aging	9606	FADS1,hCG_40849	P
UniProtKB	A0A0B4J1S1	CIITA	GO:0007568	aging	9606	CIITA	P
UniProtKB	A0A0B4K6J3	mld	GO:0008340	determination of adult lifespan	7227	mld,CG13620,CG31312,CG33343,CG9469,DTS-3,Dmel\CG34100,L(3)3[DTS],Mld,l(3)3[DTS],l(3)DTS3,CG34100,Dmel_CG34100	P
UniProtKB	A0A0B4K765	Sin3A	GO:0008340	determination of adult lifespan	7227	Sin3A,15,159A11T,27,3,97,Dmel\CG8815,ES2-3,ESTS:159A11T,EY2-9,SIN3,SIN3A,Sin 3A,Sin3,Sin3a,dSin3,dSin3A,l(2)08269,l(2)k02703	P
UniProtKB	A0A0B4K7B0	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4K7H8	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4K7I2	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4K7I6	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4K7P1	p53	GO:0008340	determination of adult lifespan	7227	p53,CG10873,CG31325,D-p53,DMP53,Dm-P53,DmP53,Dmel\CG33336,Dmp53,Dp53,P53,dmP53,dmp53,dp53,prac,CG33336,Dmel_CG33336	P
UniProtKB	A0A0B4K7P1	p53	GO:0008340	determination of adult lifespan	7227	p53,CG10873,CG31325,D-p53,DMP53,Dm-P53,DmP53,Dmel\CG33336,Dmp53,Dp53,P53,dmP53,dmp53,dp53,prac,CG33336,Dmel_CG33336	P
UniProtKB	A0A0B4K7Q3	alph	GO:0008340	determination of adult lifespan	7227	alph,Alph,Dmel\CG1906,PP2Cb,SK3-1,pp2c99B,CG1906,Dmel_CG1906	P
UniProtKB	A0A0B4K7S6	mld	GO:0008340	determination of adult lifespan	7227	mld,CG13620,CG31312,CG33343,CG9469,DTS-3,Dmel\CG34100,L(3)3[DTS],Mld,l(3)3[DTS],l(3)DTS3,CG34100,Dmel_CG34100	P
UniProtKB	A0A0B4K7W3	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4K7W7	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4K852	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4K8A1	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4K8A2	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4KEV0	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4KF04	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0B4KFS6	CG12488	GO:0008340	determination of adult lifespan	7227	CG12488,BcDNA:SD15892,CG13486,CG18356,Dmel\CG42663,CG42663,Dmel_CG42663	P
UniProtKB	A0A0B4KHX4	Nf1	GO:0008340	determination of adult lifespan	7227	Nf1,Dmel\CG8318,FBpp0084326,NF-1,NF1,Nf-1,dNF1,dNf1,nf1,CG8318,Dmel_CG8318	P
UniProtKB	A0A0B4KI28	Nf1	GO:0008340	determination of adult lifespan	7227	Nf1,Dmel\CG8318,FBpp0084326,NF-1,NF1,Nf-1,dNF1,dNf1,nf1,CG8318,Dmel_CG8318	P
UniProtKB	A0A0B4LF82	Sin3A	GO:0008340	determination of adult lifespan	7227	Sin3A,15,159A11T,27,3,97,Dmel\CG8815,ES2-3,ESTS:159A11T,EY2-9,SIN3,SIN3A,Sin 3A,Sin3,Sin3a,dSin3,dSin3A,l(2)08269,l(2)k02703	P
UniProtKB	A0A0B4LF93	Sin3A	GO:0008340	determination of adult lifespan	7227	Sin3A,15,159A11T,27,3,97,Dmel\CG8815,ES2-3,ESTS:159A11T,EY2-9,SIN3,SIN3A,Sin 3A,Sin3,Sin3a,dSin3,dSin3A,l(2)08269,l(2)k02703	P
UniProtKB	A0A0B4LHX7	puc	GO:0008340	determination of adult lifespan	7227	puc,0238,03,08,1351,Dmel\CG7850,JNK-DSP,MKP,PUC,Puc,hrt,l(3)84Eh,l(3)A251.1,l(3)j4E1,vco,CG7850,Dmel_CG7850	P
UniProtKB	A0A0B4LHX7	puc	GO:0008340	determination of adult lifespan	7227	puc,0238,03,08,1351,Dmel\CG7850,JNK-DSP,MKP,PUC,Puc,hrt,l(3)84Eh,l(3)A251.1,l(3)j4E1,vco,CG7850,Dmel_CG7850	P
UniProtKB	A0A0C4DHB7	mld	GO:0008340	determination of adult lifespan	7227	mld,CG13620,CG31312,CG33343,CG9469,DTS-3,Dmel\CG34100,L(3)3[DTS],Mld,l(3)3[DTS],l(3)DTS3,CG34100,Dmel_CG34100	P
UniProtKB	A0A0C4DHD5	sm	GO:0008340	determination of adult lifespan	7227	sm,BcDNA:GH10856,Dmel\CG9218,Sm,l(2)05338,smo,CG9218,Dmel_CG9218	P
UniProtKB	A0A0K3AUE4	sea-2	GO:0008340	determination of adult lifespan	6239	sea-2,K10G6.3	P
UniProtKB	A0A0K3AUJ9	prdx-2	GO:0008340	determination of adult lifespan	6239	prdx-2,prx2,tag-56,F09E5.15	P
UniProtKB	A0A0K3AUJ9	prdx-2	GO:0008340	determination of adult lifespan	6239	prdx-2,prx2,tag-56,F09E5.15	P
UniProtKB	A0A0K3AV08	mlk-1	GO:0008340	determination of adult lifespan	6239	mlk-1,K11D12.10	P
UniProtKB	A0A0K3AV08	mlk-1	GO:0008340	determination of adult lifespan	6239	mlk-1,K11D12.10	P
UniProtKB	A0A0K3AV08	mlk-1	GO:0008340	determination of adult lifespan	6239	mlk-1,K11D12.10	P
UniProtKB	A0A0R4IHR6	wrn	GO:0010259	multicellular organism aging	7955	wrn	P
