GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0A024QYT6	AP1S1	GO:0016192		9606	AP1S1,hCG_17348	P
UniProtKB	A0A024QYX8	WAS	GO:0016197		9606	WAS,hCG_19822	P
UniProtKB	A0A024QYY1	EPN2	GO:0006897		9606	EPN2,hCG_1811979	P
UniProtKB	A0A024QYZ6	EXOC3	GO:0006887		9606	EXOC3,hCG_17068	P
UniProtKB	A0A024QYZ6	EXOC3	GO:0006887		9606	EXOC3,hCG_17068	P
UniProtKB	A0A024QZB8	CLN3	GO:0006897		9606	CLN3,hCG_1745226	P
UniProtKB	A0A024QZB8	CLN3	GO:0061909		9606	CLN3,hCG_1745226	P
UniProtKB	A0A024QZB8	CLN3	GO:0090385		9606	CLN3,hCG_1745226	P
UniProtKB	A0A024QZB8	CLN3	GO:0090384		9606	CLN3,hCG_1745226	P
UniProtKB	A0A024QZF7	FLJ22688	GO:0016192		9606	FLJ22688,hCG_21121	P
UniProtKB	A0A024QZM6	SEC24C	GO:0006888		9606	SEC24C,hCG_19035	P
UniProtKB	A0A024QZR5	AP3M1	GO:0016192		9606	AP3M1,hCG_1812063	P
UniProtKB	A0A024QZT2	EXOC2	GO:0006893		9606	EXOC2,hCG_22649	P
UniProtKB	A0A024QZT2	EXOC2	GO:0006887		9606	EXOC2,hCG_22649	P
UniProtKB	A0A024QZT2	EXOC2	GO:0006893		9606	EXOC2,hCG_22649	P
UniProtKB	A0A024QZU1	EIF2AK1	GO:0006909		9606	EIF2AK1,hCG_2008663	P
UniProtKB	A0A024R061	SYBL1	GO:0016192		9606	SYBL1,hCG_19055	P
UniProtKB	A0A024R061	SYBL1	GO:0017156		9606	SYBL1,hCG_19055	P
UniProtKB	A0A024R061	SYBL1	GO:0016192		9606	SYBL1,hCG_19055	P
UniProtKB	A0A024R061	SYBL1	GO:0008333		9606	SYBL1,hCG_19055	P
UniProtKB	A0A024R061	SYBL1	GO:0006911		9606	SYBL1,hCG_19055	P
