Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG2731	1.0	1.0	8	8	5	5	1	4	1	1	1	1	0	0	1	1	0	0	1	1	
KOG0797	1.0	1.0	6	6	6	6	1	1	0	0	1	1	1	1	1	1	1	1	1	1	
KOG3032	1.0	1.0	4	4	4	4	1	1	1	1	1	1	0	0	1	1	0	0	0	0	
KOG0890	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG0562	1.0	1.0	6	6	6	6	1	1	0	0	1	1	1	1	1	1	1	1	1	1	
KOG2134	1.0	1.0	10	10	7	7	1	2	1	1	1	1	1	2	1	2	1	1	1	1	
KOG4751	1.0	1.0	5	5	4	4	1	2	0	0	1	1	1	1	1	1	0	0	0	0	
KOG2227	1.0	1.0	7	7	6	6	1	2	1	1	1	1	0	0	1	1	1	1	1	1	
KOG4762	1.0	1.0	7	7	6	6	1	2	1	1	1	1	1	1	1	1	0	0	1	1	
KOG1015	1.0	1.0	5	5	4	4	1	1	1	1	1	2	0	0	1	1	0	0	0	0	
KOG1897	1.0	1.0	7	7	5	5	1	2	1	1	1	1	0	0	1	1	0	0	1	2	
KOG1434	1.0	1.0	7	7	5	5	1	2	0	0	1	1	0	0	1	2	1	1	1	1	
KOG0966	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG3818	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG0870	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2732	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG1798	1.0	1.0	8	8	7	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
KOG0970	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2534	1.0	1.0	8	8	5	5	1	1	0	0	0	0	1	1	1	4	1	1	1	1	
KOG1274	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2841	1.0	1.0	8	8	7	7	1	1	1	1	1	1	1	1	1	2	1	1	1	1	
KOG1131	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2518	1.0	1.0	10	10	7	7	1	3	1	1	1	1	1	1	1	1	1	2	1	1	
KOG2143	1.0	1.0	5	5	5	5	1	1	1	1	0	0	1	1	1	1	0	0	1	1	
KOG2519	1.0	1.0	13	13	7	7	1	3	1	1	1	2	1	2	1	2	1	1	1	2	
KOG4603	1.0	1.0	4	4	4	4	1	1	0	0	0	0	0	0	1	1	1	1	1	1	
KOG1805	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG2837	1.0	1.0	7	7	6	6	1	2	1	1	1	1	0	0	1	1	1	1	1	1	
KOG2327	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2326	1.0	1.0	6	6	6	6	1	1	1	1	0	0	1	1	1	1	1	1	1	1	
KOG0477	1.0	1.0	10	10	7	7	1	2	1	1	1	1	1	2	1	2	1	1	1	1	
KOG0479	1.0	1.0	8	8	7	7	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
KOG0478	1.0	1.0	8	8	7	7	1	1	1	1	1	2	1	1	1	1	1	1	1	1	
KOG0481	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG0480	1.0	1.0	10	10	7	7	1	2	1	1	1	1	1	1	1	3	1	1	1	1	
KOG0482	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG2545	1.0	1.0	5	5	5	5	1	1	0	0	1	1	1	1	1	1	0	0	1	1	
KOG1979	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG3433	1.0	1.0	5	5	5	5	1	1	0	0	0	0	1	1	1	1	1	1	1	1	
KOG2310	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG0217	1.0	1.0	9	9	6	6	1	4	1	1	1	1	0	0	1	1	1	1	1	1	
KOG0219	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG0218	1.0	1.0	5	5	4	4	1	1	0	0	0	0	0	0	1	1	1	1	1	2	
KOG0220	1.0	1.0	4	4	4	4	1	1	1	1	0	0	0	0	1	1	1	1	0	0	
KOG0221	1.0	1.0	4	4	4	4	1	1	1	1	0	0	0	0	1	1	1	1	0	0	
KOG2379	1.0	1.0	8	8	7	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2457	1.0	1.0	4	4	4	4	1	1	0	0	0	0	1	1	1	1	0	0	1	1	
ENOG502QQ7Y	1.0	1.0	4	4	4	4	1	1	0	0	1	1	1	1	1	1	0	0	0	0	
KOG2153	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2979	1.0	1.0	10	10	7	7	1	1	1	1	1	4	1	1	1	1	1	1	1	1	
KOG2866	1.0	1.0	8	8	6	6	1	2	1	1	1	1	0	0	1	2	1	1	1	1	
KOG1921	1.0	1.0	9	9	7	7	1	2	1	1	1	1	1	1	1	1	1	2	1	1	
KOG2875	1.0	1.0	5	5	5	5	1	1	0	0	1	1	1	1	1	1	1	1	0	0	
KOG1514	1.0	1.0	9	9	7	7	1	2	1	1	1	1	1	1	1	1	1	2	1	1	
KOG2928	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG2538	1.0	1.0	5	5	5	5	1	1	0	0	1	1	0	0	1	1	1	1	1	1	
KOG2228	1.0	1.0	6	6	6	6	1	1	0	0	1	1	1	1	1	1	1	1	1	1	
KOG2543	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG4557	1.0	1.0	4	4	4	4	1	1	0	0	1	1	1	1	1	1	0	0	0	0	
KOG0744	1.0	1.0	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	0	0	
KOG1636	1.0	1.0	9	9	7	7	1	2	1	1	1	2	1	1	1	1	1	1	1	1	
KOG1525	1.0	1.0	14	14	7	7	1	6	1	1	1	1	1	2	1	2	1	1	1	1	
KOG1978	1.0	1.0	9	9	7	7	1	1	1	1	1	1	1	1	1	2	1	2	1	1	
KOG2095	1.0	1.0	9	9	7	7	1	1	1	1	1	2	1	1	1	2	1	1	1	1	
KOG2094	1.0	1.0	4	4	4	4	1	1	1	1	0	0	0	0	1	1	0	0	1	1	
KOG4757	1.0	1.0	6	6	4	4	1	3	0	0	0	0	1	1	1	1	0	0	1	1	
KOG0289	1.0	1.0	8	8	7	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2267	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG4071	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG1433	1.0	1.0	20	20	7	7	1	7	1	1	1	2	1	2	1	4	1	1	1	3	
KOG1970	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG2179	1.0	1.0	9	9	7	7	1	1	1	1	1	1	1	1	1	1	1	2	1	2	
KOG0962	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG0353	1.0	1.0	4	4	4	4	1	1	1	1	0	0	1	1	1	1	0	0	0	0	
KOG2093	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG0968	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
KOG0991	1.0	1.0	6	6	6	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	
