GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0A024QYX5	FTSJ1	GO:0008175	tRNA methyltransferase activity	9606	FTSJ1,hCG_17419	F
UniProtKB	A0A024QYX5	FTSJ1	GO:0008033	tRNA processing	9606	FTSJ1,hCG_17419	P
UniProtKB	A0A024QYX5	FTSJ1	GO:0008033	tRNA processing	9606	FTSJ1,hCG_17419	P
UniProtKB	A0A024QYX5	FTSJ1	GO:0002128	tRNA nucleoside ribose methylation	9606	FTSJ1,hCG_17419	P
UniProtKB	A0A024QYX5	FTSJ1	GO:0008175	tRNA methyltransferase activity	9606	FTSJ1,hCG_17419	F
UniProtKB	A0A024R0H0	SARS2	GO:0006434	seryl-tRNA aminoacylation	9606	SARS2,hCG_20526	P
UniProtKB	A0A024R0H0	SARS2	GO:0006418	tRNA aminoacylation for protein translation	9606	SARS2,hCG_20526	P
UniProtKB	A0A024R0H0	SARS2	GO:0097056	selenocysteinyl-tRNA(Sec) biosynthetic process	9606	SARS2,hCG_20526	P
UniProtKB	A0A024R2G3	TSEN2	GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	9606	TSEN2,hCG_28320	P
UniProtKB	A0A024R2G3	TSEN2	GO:0008033	tRNA processing	9606	TSEN2,hCG_28320	P
UniProtKB	A0A024R388	THUMPD1	GO:0006400	tRNA modification	9606	THUMPD1,hCG_38249	P
UniProtKB	A0A024R403	FLJ37953	GO:0031591	wybutosine biosynthetic process	9606	FLJ37953,hCG_20965	P
UniProtKB	A0A024R4N9	TSEN34	GO:0000379	tRNA-type intron splice site recognition and cleavage	9606	TSEN34,hCG_20952	P
UniProtKB	A0A024R4N9	TSEN34	GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	9606	TSEN34,hCG_20952	P
UniProtKB	A0A024R4N9	TSEN34	GO:0008033	tRNA processing	9606	TSEN34,hCG_20952	P
UniProtKB	A0A024R4N9	TSEN34	GO:0000379	tRNA-type intron splice site recognition and cleavage	9606	TSEN34,hCG_20952	P
UniProtKB	A0A024R6K8	WARS	GO:0006436	tryptophanyl-tRNA aminoacylation	9606	WARS,hCG_25017	P
UniProtKB	A0A024R6K8	WARS	GO:0006418	tRNA aminoacylation for protein translation	9606	WARS,hCG_25017	P
UniProtKB	A0A024R6K8	WARS	GO:0006436	tryptophanyl-tRNA aminoacylation	9606	WARS,hCG_25017	P
UniProtKB	A0A024R6Q2	C14orf172	GO:0030488	tRNA methylation	9606	C14orf172,hCG_25505	P
UniProtKB	A0A024R6Q2	C14orf172	GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	9606	C14orf172,hCG_25505	F
UniProtKB	A0A024R6Q2	C14orf172	GO:0008033	tRNA processing	9606	C14orf172,hCG_25505	P
UniProtKB	A0A024R6Q2	C14orf172	GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	9606	C14orf172,hCG_25505	F
UniProtKB	A0A024R6Z7	DUS2L	GO:0008033	tRNA processing	9606	DUS2L,hCG_28115	P
UniProtKB	A0A024R6Z7	DUS2L	GO:0017150	tRNA dihydrouridine synthase activity	9606	DUS2L,hCG_28115	F
UniProtKB	A0A024R6Z7	DUS2L	GO:0008033	tRNA processing	9606	DUS2L,hCG_28115	P
UniProtKB	A0A024R6Z7	DUS2L	GO:0002943	tRNA dihydrouridine synthesis	9606	DUS2L,hCG_28115	P
UniProtKB	A0A024R7G3	TRMT1	GO:0008033	tRNA processing	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7G3	TRMT1	GO:0004809	tRNA (guanine-N2-)-methyltransferase activity	9606	TRMT1,hCG_27765	F
UniProtKB	A0A024R7G3	TRMT1	GO:0008033	tRNA processing	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7G3	TRMT1	GO:0008033	tRNA processing	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7G3	TRMT1	GO:0004809	tRNA (guanine-N2-)-methyltransferase activity	9606	TRMT1,hCG_27765	F
UniProtKB	A0A024R7G3	TRMT1	GO:0030488	tRNA methylation	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7G3	TRMT1	GO:0030488	tRNA methylation	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7I5	TRMT1	GO:0008033	tRNA processing	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7I5	TRMT1	GO:0004809	tRNA (guanine-N2-)-methyltransferase activity	9606	TRMT1,hCG_27765	F
UniProtKB	A0A024R7I5	TRMT1	GO:0008033	tRNA processing	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7I5	TRMT1	GO:0008033	tRNA processing	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7I5	TRMT1	GO:0004809	tRNA (guanine-N2-)-methyltransferase activity	9606	TRMT1,hCG_27765	F
UniProtKB	A0A024R7I5	TRMT1	GO:0030488	tRNA methylation	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R7I5	TRMT1	GO:0030488	tRNA methylation	9606	TRMT1,hCG_27765	P
UniProtKB	A0A024R8C7	C9orf74	GO:0034227	tRNA thio-modification	9606	C9orf74,URM1,hCG_18566	P
UniProtKB	A0A024R8C7	C9orf74	GO:0008033	tRNA processing	9606	C9orf74,URM1,hCG_18566	P
UniProtKB	A0A024R8C7	C9orf74	GO:0002098	tRNA wobble uridine modification	9606	C9orf74,URM1,hCG_18566	P
UniProtKB	A0A024R8C7	C9orf74	GO:0034227	tRNA thio-modification	9606	C9orf74,URM1,hCG_18566	P
UniProtKB	A0A024RB62	METTL1	GO:0008176	tRNA (guanine-N7-)-methyltransferase activity	9606	METTL1,hCG_2014568,hCG_2044065	F
UniProtKB	A0A024RB62	METTL1	GO:0006400	tRNA modification	9606	METTL1,hCG_2014568,hCG_2044065	P
UniProtKB	A0A024RB62	METTL1	GO:0008033	tRNA processing	9606	METTL1,hCG_2014568,hCG_2044065	P
UniProtKB	A0A024RB62	METTL1	GO:0008176	tRNA (guanine-N7-)-methyltransferase activity	9606	METTL1,hCG_2014568,hCG_2044065	F
UniProtKB	A0A024RB62	METTL1	GO:0008176	tRNA (guanine-N7-)-methyltransferase activity	9606	METTL1,hCG_2014568,hCG_2044065	F
UniProtKB	A0A024RB62	METTL1	GO:0030488	tRNA methylation	9606	METTL1,hCG_2014568,hCG_2044065	P
UniProtKB	A0A024RB62	METTL1	GO:0008176	tRNA (guanine-N7-)-methyltransferase activity	9606	METTL1,hCG_2014568,hCG_2044065	F
UniProtKB	A0A024RB62	METTL1	GO:0106004	tRNA (guanine-N7)-methylation	9606	METTL1,hCG_2014568,hCG_2044065	P
UniProtKB	A0A024RB62	METTL1	GO:0106004	tRNA (guanine-N7)-methylation	9606	METTL1,hCG_2014568,hCG_2044065	P
