1	0.2087	DDRGK1	ENSP00000346483	ANLN	ENSP00000265748	DCTN1	ENSP00000354791	MUC1	ENSP00000484824	SFI1	ENSP00000383145	PRC1	ENSP00000377793	PSMB4	ENSP00000290541	ANLN	ENSP00000265748	CEP97	ENSP00000342510	CARM1	ENSP00000325690
2	0.0043	ANLN	ENSP00000265748	MED1	ENSP00000300651	PSMD11	ENSP00000261712	PSMA8	ENSP00000311121	PSMA5	ENSP00000271308	PAFAH1B1	ENSP00000380378	ANLN	ENSP00000265748	PSMC2	ENSP00000391211	USP16	ENSP00000334808	CNOT1	ENSP00000320949
3	0.8496	PRKAR2B	ENSP00000265717	PDCD4	ENSP00000280154	MAPK14	ENSP00000229795	ERCC2	ENSP00000375809	RNF4	ENSP00000426503	CYLD	ENSP00000392025	NABP2	ENSP00000369545	DCTN2	ENSP00000408910	CNOT2	ENSP00000229195	PSMC2	ENSP00000391211
4	0.0505	IQGAP1	ENSP00000268182	PSMD4	ENSP00000357879	MYBL2	ENSP00000217026	DTL	ENSP00000355958	HINFP	ENSP00000318085	DCTN2	ENSP00000408910	EP300	ENSP00000263253	PSMB4	ENSP00000290541	RAD51C	ENSP00000336701	PSMB5	ENSP00000355325
5	0.2937	SFI1	ENSP00000383145	TTBK1	ENSP00000259750	ANLN	ENSP00000265748	PSMB3	ENSP00000483688	PSMD2	ENSP00000310129	ADAM10	ENSP00000260408	BOP1	ENSP00000455106	MSH2	ENSP00000233146	CENPE	ENSP00000265148	ALMS1	ENSP00000482968
6	0.0593	DHCR24	ENSP00000360316	CENPE	ENSP00000265148	PSMC2	ENSP00000391211	SENP6	ENSP00000402527	PSMD7	ENSP00000219313	PSMC2	ENSP00000391211	PES1	ENSP00000346725	CENPV	ENSP00000299736	ANLN	ENSP00000265748	TTLL12	ENSP00000216129
7	0.018	USP16	ENSP00000334808	SIN3A	ENSP00000378402	DHCR24	ENSP00000360316	USP47	ENSP00000433146	PSMB5	ENSP00000355325	PTCH1	ENSP00000332353	SFI1	ENSP00000383145	PSMD7	ENSP00000219313	TTBK1	ENSP00000259750	SIN3A	ENSP00000378402
8	0.2153	PSMB10	ENSP00000351314	MED1	ENSP00000300651	PSMC1	ENSP00000261303	MAD2L2	ENSP00000235310	PSMA6	ENSP00000261479	MED1	ENSP00000300651	FIGNL1	ENSP00000410811	PRMT5	ENSP00000319169	ABL1	ENSP00000361423	LAMTOR2	ENSP00000357288
9	0.0084	PSMB4	ENSP00000290541	PSMD12	ENSP00000348442	RAB11A	ENSP00000261890	ANLN	ENSP00000265748	PSMD8	ENSP00000215071	PSMA2	ENSP00000223321	RAD51C	ENSP00000336701	PUM1	ENSP00000391723	RNF20	ENSP00000373772	DAB2IP	ENSP00000259371
10	0.1505	ADAM10	ENSP00000260408	EED	ENSP00000263360	PSMB2	ENSP00000362334	CENPE	ENSP00000265148	PSMB4	ENSP00000290541	HECA	ENSP00000356630	PSMA3	ENSP00000216455	SOX15	ENSP00000355354	ALMS1	ENSP00000482968	TPRA1	ENSP00000347748
SUM		Min (p-val)	0.0043	Max (p-val)	0.8496	Mean (p-val)	0.18583
1	0.3076	MED1	ENSP00000300651	PSMD11	ENSP00000261712	DTL	ENSP00000355958	MAD2L2	ENSP00000235310	FBXW7	ENSP00000281708	RRM2	ENSP00000353770	PUM1	ENSP00000391723	SETD2	ENSP00000386759	NEK2	ENSP00000355966	CDC37	ENSP00000222005
2	0.8008	PIWIL2	ENSP00000349208	RCC1	ENSP00000362937	PIM2	ENSP00000365692	CDC45	ENSP00000405726	RNF4	ENSP00000426503	ERCC2	ENSP00000375809	MTOR	ENSP00000354558	TPRA1	ENSP00000347748	PSMA1	ENSP00000414359	PTCH1	ENSP00000332353
3	0.0835	PSMD1	ENSP00000309474	SENP6	ENSP00000402527	RAB11A	ENSP00000261890	LIN52	ENSP00000451812	MAP2K1	ENSP00000302486	SUZ12	ENSP00000316578	PSMC3	ENSP00000481029	PRMT5	ENSP00000319169	CNOT2	ENSP00000229195	EP300	ENSP00000263253
4	0.3743	DCTN1	ENSP00000354791	DDB1	ENSP00000301764	INTS7	ENSP00000355961	TUBG1	ENSP00000251413	PSMB10	ENSP00000351314	HPGD	ENSP00000296522	SFI1	ENSP00000383145	APAF1	ENSP00000448165	RACK1	ENSP00000426909	BIRC6	ENSP00000393596
5	0.2447	FLCN	ENSP00000285071	PSMB2	ENSP00000362334	MAPK14	ENSP00000229795	CNOT1	ENSP00000320949	PSMB10	ENSP00000351314	UXT	ENSP00000337393	MAP2K1	ENSP00000302486	LAMTOR2	ENSP00000357288	EED	ENSP00000263360	DTL	ENSP00000355958
6	0.2948	MUC1	ENSP00000484824	PSMC1	ENSP00000261303	BIRC6	ENSP00000393596	SETD2	ENSP00000386759	ABL1	ENSP00000361423	PSMB9	ENSP00000363993	PSMB9	ENSP00000363993	PUM1	ENSP00000391723	FBXL17	ENSP00000437464	TIPRL	ENSP00000356807
7	0.6284	PSMC3	ENSP00000481029	WDR12	ENSP00000261015	EP300	ENSP00000263253	MAPRE3	ENSP00000233121	DHCR24	ENSP00000360316	ROCK2	ENSP00000317985	CHMP2B	ENSP00000263780	DYNC1LI1	ENSP00000273130	HINFP	ENSP00000318085	PSMA4	ENSP00000044462
8	0.584	PIN1	ENSP00000247970	ALMS1	ENSP00000482968	FBXL17	ENSP00000437464	SUZ12	ENSP00000316578	CDC123	ENSP00000281141	PSMD12	ENSP00000348442	LATS1	ENSP00000437550	PSMD12	ENSP00000348442	DDB1	ENSP00000301764	PSMB1	ENSP00000262193
9	0.2242	RCC1	ENSP00000362937	INTS3	ENSP00000318641	ADAM10	ENSP00000260408	PTCH1	ENSP00000332353	CLASP1	ENSP00000263710	PSMB5	ENSP00000355325	MAPRE3	ENSP00000233121	MTOR	ENSP00000354558	PSMG2	ENSP00000325919	PSMC6	ENSP00000401802
10	0.2997	YTHDF2	ENSP00000362918	METTL3	ENSP00000298717	PDCD4	ENSP00000280154	BLM	ENSP00000347232	ABL1	ENSP00000361423	LGMN	ENSP00000376911	PSMB9	ENSP00000363993	RACK1	ENSP00000426909	PIM2	ENSP00000365692	CYLD	ENSP00000392025
SUM		Min (p-val)	0.0835	Max (p-val)	0.8008	Mean (p-val)	0.38420000000000004
1	0.6888	PSMB10	ENSP00000351314	ROCK2	ENSP00000317985	EGFR	ENSP00000275493	DDRGK1	ENSP00000346483	RPS15A	ENSP00000318646	RNF4	ENSP00000426503	PSMC5	ENSP00000310572	SFI1	ENSP00000383145	MTOR	ENSP00000354558	MAD2L2	ENSP00000235310
2	0.2467	CNOT1	ENSP00000320949	RRM2	ENSP00000353770	PSMC1	ENSP00000261303	SUZ12	ENSP00000316578	EED	ENSP00000263360	FIGNL1	ENSP00000410811	CARM1	ENSP00000325690	PSMC2	ENSP00000391211	CHMP2B	ENSP00000263780	ADAM10	ENSP00000260408
3	0.5349	CNOT11	ENSP00000289382	BOP1	ENSP00000455106	SGSM3	ENSP00000248929	DTL	ENSP00000355958	RAB11A	ENSP00000261890	NUP62	ENSP00000471191	CNOT11	ENSP00000289382	PSMC4	ENSP00000157812	PSMC1	ENSP00000261303	RBBP4	ENSP00000362592
4	0.6196	RNF4	ENSP00000426503	CDC123	ENSP00000281141	USP47	ENSP00000433146	PSMA2	ENSP00000223321	SOX15	ENSP00000355354	PES1	ENSP00000346725	NABP2	ENSP00000369545	RNF4	ENSP00000426503	PPM1G	ENSP00000342778	PSMD1	ENSP00000309474
5	0.0605	UXT	ENSP00000337393	PES1	ENSP00000346725	TTLL12	ENSP00000216129	RBBP4	ENSP00000362592	PSMC2	ENSP00000391211	BIRC6	ENSP00000393596	RPS15A	ENSP00000318646	PSMA8	ENSP00000311121	LATS1	ENSP00000437550	CDC37	ENSP00000222005
6	0.3972	INTS7	ENSP00000355961	IQGAP1	ENSP00000268182	INTS3	ENSP00000318641	BOP1	ENSP00000455106	CYLD	ENSP00000392025	PSMA5	ENSP00000271308	PSMD12	ENSP00000348442	MDC1	ENSP00000365588	CYLD	ENSP00000392025	PNPT1	ENSP00000400646
7	0.1559	LATS1	ENSP00000437550	LAMTOR2	ENSP00000357288	UXT	ENSP00000337393	RACGAP1	ENSP00000404190	PSMD4	ENSP00000357879	USP16	ENSP00000334808	FIGNL1	ENSP00000410811	CENPE	ENSP00000265148	RBBP4	ENSP00000362592	IQGAP1	ENSP00000268182
8	0.0374	PSMB3	ENSP00000483688	CYLD	ENSP00000392025	PPM1G	ENSP00000342778	CENPE	ENSP00000265148	MOK	ENSP00000355304	CNOT2	ENSP00000229195	PSMA5	ENSP00000271308	SKP1	ENSP00000231487	EED	ENSP00000263360	PAFAH1B1	ENSP00000380378
9	0.0574	SIN3A	ENSP00000378402	CDC7	ENSP00000393139	PSMB9	ENSP00000363993	PRCC	ENSP00000271526	PSME4	ENSP00000384211	FLCN	ENSP00000285071	SIN3A	ENSP00000378402	HPGD	ENSP00000296522	PRC1	ENSP00000377793	BIRC6	ENSP00000393596
10	0.083	MED1	ENSP00000300651	ASAH2	ENSP00000378897	RACGAP1	ENSP00000404190	MTOR	ENSP00000354558	UHMK1	ENSP00000420270	CLASP1	ENSP00000263710	PSMC5	ENSP00000310572	CEP97	ENSP00000342510	SFI1	ENSP00000383145	CDC45	ENSP00000405726
SUM		Min (p-val)	0.0374	Max (p-val)	0.6888	Mean (p-val)	0.28813999999999995
1	0.2416	RACGAP1	ENSP00000404190	HHEX	ENSP00000282728	INTS7	ENSP00000355961	TTLL12	ENSP00000216129	SENP6	ENSP00000402527	METTL3	ENSP00000298717	PSMC5	ENSP00000310572	SKP1	ENSP00000231487	PSMB4	ENSP00000290541	EGFR	ENSP00000275493
2	0.6022	PSMB10	ENSP00000351314	RAB11A	ENSP00000261890	CNOT2	ENSP00000229195	LAMTOR2	ENSP00000357288	CNOT11	ENSP00000289382	DTL	ENSP00000355958	CDC37	ENSP00000222005	BOP1	ENSP00000455106	PIM2	ENSP00000365692	CENPV	ENSP00000299736
3	0.7675	PDCD4	ENSP00000280154	ATRX	ENSP00000362441	RRM2	ENSP00000353770	CHMP2B	ENSP00000263780	RPS15A	ENSP00000318646	MAP2K1	ENSP00000302486	ADAM10	ENSP00000260408	MED1	ENSP00000300651	FLCN	ENSP00000285071	SOX15	ENSP00000355354
4	4.45e-06	EGFR	ENSP00000275493	BRCC3	ENSP00000358474	PSMA6	ENSP00000261479	PSMD7	ENSP00000219313	ANAPC10	ENSP00000478501	SGSM3	ENSP00000248929	LAMTOR2	ENSP00000357288	SOX15	ENSP00000355354	PSMD4	ENSP00000357879	PSMA3	ENSP00000216455
5	0.599	MAP2K1	ENSP00000302486	PUM1	ENSP00000391723	RCC1	ENSP00000362937	CDC37	ENSP00000222005	NSMCE2	ENSP00000287437	MOK	ENSP00000355304	PIM2	ENSP00000365692	PSMC1	ENSP00000261303	MUC1	ENSP00000484824	PSMB10	ENSP00000351314
6	0.132	DCTN1	ENSP00000354791	TIPRL	ENSP00000356807	RCC1	ENSP00000362937	TUBG1	ENSP00000251413	PTCH1	ENSP00000332353	ANLN	ENSP00000265748	EED	ENSP00000263360	MSH2	ENSP00000233146	PPP2R5B	ENSP00000164133	LAMTOR2	ENSP00000357288
7	0.6779	EED	ENSP00000263360	MAPK14	ENSP00000229795	EED	ENSP00000263360	PSMB9	ENSP00000363993	PSMD4	ENSP00000357879	CHMP2B	ENSP00000263780	PIM2	ENSP00000365692	PIM2	ENSP00000365692	SFI1	ENSP00000383145	SIN3A	ENSP00000378402
8	0.0678	PSMC2	ENSP00000391211	CHMP2B	ENSP00000263780	DTL	ENSP00000355958	CNOT10	ENSP00000399862	PSMG2	ENSP00000325919	TP53BP2	ENSP00000341957	PSMB4	ENSP00000290541	ADAM10	ENSP00000260408	SENP6	ENSP00000402527	CARM1	ENSP00000325690
9	0.0012	TTBK1	ENSP00000259750	BRCC3	ENSP00000358474	INTS7	ENSP00000355961	PSMA6	ENSP00000261479	SETD2	ENSP00000386759	PSMD12	ENSP00000348442	MDC1	ENSP00000365588	NSMCE2	ENSP00000287437	SVIL	ENSP00000348128	PDCD4	ENSP00000280154
10	0.6704	LIN52	ENSP00000451812	PSMA3	ENSP00000216455	PNPT1	ENSP00000400646	ALMS1	ENSP00000482968	PSMD4	ENSP00000357879	CNOT11	ENSP00000289382	MED1	ENSP00000300651	TTBK1	ENSP00000259750	MAP2K1	ENSP00000302486	YTHDF2	ENSP00000362918
SUM		Min (p-val)	4.45e-06	Max (p-val)	0.7675	Mean (p-val)	0.3759604449999999
