1	0.1548	E2F4	ENSP00000368686	ESPL1	ENSP00000257934	TPR	ENSP00000356448	ESPL1	ENSP00000257934	RAE1	ENSP00000379182	ANAPC2	ENSP00000314004	METTL3	ENSP00000298717	CIT	ENSP00000376306	MADD	ENSP00000310933	TAOK3	ENSP00000376317
2	0.1157	E2F4	ENSP00000368686	KIF11	ENSP00000260731	RAE1	ENSP00000379182	YWHAE	ENSP00000264335	BRSK1	ENSP00000310649	PRKAG2	ENSP00000287878	ESPL1	ENSP00000257934	EIF2AK4	ENSP00000263791	NEK7	ENSP00000356355	MADD	ENSP00000310933
3	0.2543	INTS3	ENSP00000318641	KIF11	ENSP00000260731	CDC123	ENSP00000281141	CIT	ENSP00000376306	YWHAE	ENSP00000264335	BTRC	ENSP00000359206	PRKAG2	ENSP00000287878	E2F8	ENSP00000481103	BTRC	ENSP00000359206	METTL3	ENSP00000298717
4	0.0097	CIT	ENSP00000376306	E2F8	ENSP00000481103	NDC80	ENSP00000261597	YWHAE	ENSP00000264335	RAE1	ENSP00000379182	EIF2AK4	ENSP00000263791	METTL3	ENSP00000298717	METTL3	ENSP00000298717	ANAPC2	ENSP00000314004	CHEK1	ENSP00000388648
5	0.0322	BECN1	ENSP00000355231	E2F8	ENSP00000481103	PRKAG2	ENSP00000287878	BRSK1	ENSP00000310649	HORMAD1	ENSP00000355167	INTS3	ENSP00000318641	PRKAG2	ENSP00000287878	TPR	ENSP00000356448	NDC80	ENSP00000261597	CIT	ENSP00000376306
6	0.00032	BIRC2	ENSP00000477613	ESPL1	ENSP00000257934	CIT	ENSP00000376306	CHEK1	ENSP00000388648	MADD	ENSP00000310933	E2F8	ENSP00000481103	INTS3	ENSP00000318641	BECN1	ENSP00000355231	INTS3	ENSP00000318641	BRCA1	ENSP00000418960
7	0.4971	BIRC2	ENSP00000477613	NEK7	ENSP00000356355	METTL3	ENSP00000298717	BIRC2	ENSP00000477613	TAOK3	ENSP00000376317	BRSK1	ENSP00000310649	BTRC	ENSP00000359206	ESPL1	ENSP00000257934	BIRC2	ENSP00000477613	NDC80	ENSP00000261597
8	0.0307	NDC80	ENSP00000261597	HORMAD1	ENSP00000355167	BTRC	ENSP00000359206	NDC80	ENSP00000261597	RAE1	ENSP00000379182	KIF11	ENSP00000260731	TPR	ENSP00000356448	RAE1	ENSP00000379182	E2F8	ENSP00000481103	METTL3	ENSP00000298717
9	0.0834	RAE1	ENSP00000379182	ANAPC2	ENSP00000314004	TPR	ENSP00000356448	TPR	ENSP00000356448	CIT	ENSP00000376306	CHEK1	ENSP00000388648	E2F4	ENSP00000368686	BECN1	ENSP00000355231	BRSK1	ENSP00000310649	COPS5	ENSP00000350512
10	0.003	TPR	ENSP00000356448	BTRC	ENSP00000359206	E2F8	ENSP00000481103	E2F4	ENSP00000368686	METTL3	ENSP00000298717	CIT	ENSP00000376306	YWHAE	ENSP00000264335	BRCA1	ENSP00000418960	TPR	ENSP00000356448	CDC20	ENSP00000361540
SUM		Min (p-val)	0.00032	Max (p-val)	0.4971	Mean (p-val)	0.11812199999999998
1	0.0588	PRKAG2	ENSP00000287878	EIF2AK4	ENSP00000263791	CIT	ENSP00000376306	CDC20	ENSP00000361540	KIF11	ENSP00000260731	CIT	ENSP00000376306	EIF2AK4	ENSP00000263791	BTRC	ENSP00000359206	CDC123	ENSP00000281141	TPR	ENSP00000356448
