1	1.0	USP16	ENSP00000334808	METTL3	ENSP00000298717	DTL	ENSP00000355958	NUP62	ENSP00000471191	PNPT1	ENSP00000400646	MAD2L2	ENSP00000235310	PPP1R13B	ENSP00000202556	PSMB5	ENSP00000355325	BTG1	ENSP00000256015	PNPT1	ENSP00000400646
2	0.0125	CNOT10	ENSP00000399862	PSMB2	ENSP00000362334	SIN3A	ENSP00000378402	DTL	ENSP00000355958	PSMD7	ENSP00000219313	CNOT2	ENSP00000229195	CNOT11	ENSP00000289382	YTHDF2	ENSP00000362918	PUM1	ENSP00000391723	PRKAA1	ENSP00000346148
3	0.09	PSMC2	ENSP00000391211	FLCN	ENSP00000285071	PIN1	ENSP00000247970	YTHDF2	ENSP00000362918	PIN1	ENSP00000247970	BLM	ENSP00000347232	PSMB5	ENSP00000355325	CSNK1D	ENSP00000324464	PSMC3	ENSP00000481029	NABP1	ENSP00000403683
4	1.0	CDC45	ENSP00000405726	KIF25	ENSP00000388878	INTS7	ENSP00000355961	SIN3A	ENSP00000378402	CNOT1	ENSP00000320949	PSMD4	ENSP00000357879	SGSM3	ENSP00000248929	TFAP4	ENSP00000204517	FBXW7	ENSP00000281708	PIWIL2	ENSP00000349208
5	0.0108	RACK1	ENSP00000426909	BOP1	ENSP00000455106	PSMD7	ENSP00000219313	BTG1	ENSP00000256015	LATS2	ENSP00000372035	SIN3A	ENSP00000378402	INTS7	ENSP00000355961	PSMA6	ENSP00000261479	PSMB9	ENSP00000363993	USP47	ENSP00000433146
6	0.7317	FBXW7	ENSP00000281708	RNF4	ENSP00000426503	PTPN6	ENSP00000391592	PIWIL2	ENSP00000349208	ADAM10	ENSP00000260408	METTL3	ENSP00000298717	PSMB2	ENSP00000362334	TTLL12	ENSP00000216129	TTLL12	ENSP00000216129	MUC1	ENSP00000484824
7	0.0025	PSMD12	ENSP00000348442	INTS7	ENSP00000355961	PPP2R5B	ENSP00000164133	PSMB10	ENSP00000351314	RBBP4	ENSP00000362592	DDB1	ENSP00000301764	CNOT2	ENSP00000229195	MTOR	ENSP00000354558	PSMB3	ENSP00000483688	NEK2	ENSP00000355966
8	0.0458	TPRA1	ENSP00000347748	PSMC5	ENSP00000310572	PSMD3	ENSP00000264639	NUP62	ENSP00000471191	RAB11A	ENSP00000261890	SOX9	ENSP00000245479	TIPRL	ENSP00000356807	TIPRL	ENSP00000356807	PSMD4	ENSP00000357879	PSMG2	ENSP00000325919
9	0.086	SFI1	ENSP00000383145	PSMD7	ENSP00000219313	PSMD8	ENSP00000215071	PSMB1	ENSP00000262193	DDB1	ENSP00000301764	DAPK3	ENSP00000442973	SFI1	ENSP00000383145	PTCH1	ENSP00000332353	PDCD4	ENSP00000280154	PDGFB	ENSP00000330382
10	2.61e-06	PSMA3	ENSP00000216455	BIRC6	ENSP00000393596	KIF25	ENSP00000388878	PSMB2	ENSP00000362334	RAD51C	ENSP00000336701	PSMD8	ENSP00000215071	CDC7	ENSP00000393139	PPP2R5B	ENSP00000164133	TUBG1	ENSP00000251413	FBXL7	ENSP00000423630
