GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0A2R8PZ72	vtg5	GO:0045735		7955	vtg5,SO:0001217	F
UniProtKB	A0A2R8Q212	vtg1	GO:0045735		7955	vtg1,SO:0001217	F
UniProtKB	A0A2R8Q549	vtg2	GO:0045735		7955	vtg2,SO:0001217	F
UniProtKB	A0A2R8Q5K5	vtg5	GO:0045735		7955	vtg5,SO:0001217	F
UniProtKB	A0A2R8Q7B1	si:dkey-4c23.3	GO:0045735		7955	si:dkey-4c23.3	F
UniProtKB	A0A2R8QBG3	vtg6	GO:0045735		7955	vtg6,SO:0001217	F
UniProtKB	A0A2R8QEH1	vtg1	GO:0045735		7955	vtg1,SO:0001217	F
UniProtKB	A0A2R8QHD5	vtg5	GO:0045735		7955	vtg5,SO:0001217	F
UniProtKB	A0A2R8QKR3	vtg6	GO:0045735		7955	vtg6,SO:0001217	F
UniProtKB	A0A2R8QN47	vtg4	GO:0045735		7955	vtg4,SO:0001217	F
UniProtKB	A0A2R8QNH7	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	A0A2R8QQ28	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	A0A2R8QV67	vtg4	GO:0045735		7955	vtg4,SO:0001217	F
UniProtKB	A0A2R8RHW2	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	A0A2R8RIU9	vtg2	GO:0045735		7955	vtg2,SO:0001217	F
UniProtKB	A0A2R8RK66	si:dkey-4c23.3	GO:0045735		7955	si:dkey-4c23.3	F
UniProtKB	A0A2R8RN02	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	A0A2R8RSX9	vtg6	GO:0045735		7955	vtg6,SO:0001217	F
UniProtKB	A0A2R8RUJ6	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	A0A2R8RVB7	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	A0A2R8RWE8	vtg4	GO:0045735		7955	vtg4,SO:0001217	F
UniProtKB	A2VCZ6	vtg4	GO:0045735		7955	zgc:136383,vtg4,SO:0001217	F
UniProtKB	A3KMS4	vtg7	GO:0045735		7955	si:dkey-4c23.1,vg7,wu:fb62f05,vtg7,SO:0001217	F
UniProtKB	A8WGJ7	vtg4	GO:0045735		7955	vtg4,SO:0001217,zgc:136383	F
UniProtKB	E9QFD8	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	F1Q7L0	vtg4	GO:0045735		7955	vtg4,SO:0001217	F
UniProtKB	F1QB92	si:dkey-4c23.3	GO:0045735		7955	si:dkey-4c23.3	F
UniProtKB	F1QPC0	vtg3	GO:0045735		7955	vtg3,SO:0001217	F
UniProtKB	F1QQQ3	vtg3	GO:0045735		7955	vtg3,SO:0001217	F
UniProtKB	F1QV15	vtg6	GO:0045735		7955	si:rp71-23d18.1,vtg6,SO:0001217	F
UniProtKB	F1R2S5	vtg5	GO:0045735		7955	vtg5,SO:0001217	F
UniProtKB	F1R2T3	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	Q0P421	vtg3	GO:0045735		7955	vtg3,SO:0001217	F
UniProtKB	Q1LWN2	vtg1	GO:0045735		7955	vtg1,SO:0001217	F
UniProtKB	Q1MTC4	vtg2	GO:0045735		7955	vtg2,SO:0001217	F
UniProtKB	Q1MTC6	vtg7	GO:0045735		7955	vtg7,SO:0001217	F
UniProtKB	Q4QRF3	vtg5	GO:0045735		7955	vg5,vtg5,SO:0001217	F
UniProtKB	Q504J4	vtg1	GO:0045735		7955	vg1,vtg1,SO:0001217	F
UniProtKB	Q8JH37	vtg1	GO:0045735		7955	vg1,vtg1,SO:0001217	F
UniProtKB	Q90YN8	vtg1	GO:0045735		7955	vg1,vtg1,SO:0001217	F
UniProtKB	Q9DFT9	vtg3	GO:0045735		7955	vg3,vtg3,SO:0001217	F
UniProtKB	P05690	vit-2	GO:0045735		6239	vit-2,C42D8.2	F
UniProtKB	P06125	vit-5	GO:0045735		6239	vit-5,C04F6.1	F
UniProtKB	P18947	vit-4	GO:0045735		6239	vit-4,F59D8.2	F
UniProtKB	P18948	vit-6	GO:0045735		6239	vit-6,K07H8.6	F
UniProtKB	P55155	vit-1	GO:0045735		6239	vit-1,K09F5.2	F
UniProtKB	Q9N4J2	vit-3	GO:0045735		6239	vit-3,F59D8.1	F
UniProtKB	A0A178UEJ6	AXX17_At5g24660	GO:0045735		3702	AXX17_At5g24660	F
UniProtKB	A0A178UG52	AXX17_At5g42240	GO:0045735		3702	AXX17_At5g42240	F
UniProtKB	A0A178UG52	AXX17_At5g42240	GO:0045735		3702	AXX17_At5g42240	F
UniProtKB	A0A178UG52	AXX17_At5g42240	GO:0045735		3702	AXX17_At5g42240	F
UniProtKB	A0A178UG52	AXX17_At5g42240	GO:0045735		3702	AXX17_At5g42240	F
UniProtKB	A0A178UIR5	AXX17_At5g42130	GO:0045735		3702	AXX17_At5g42130,AN1_LOCUS24603,C24_LOCUS24436	F
UniProtKB	A0A178ULS9	AXX17_At5g42250	GO:0045735		3702	AXX17_At5g42250	F
UniProtKB	A0A178ULS9	AXX17_At5g42250	GO:0045735		3702	AXX17_At5g42250	F
UniProtKB	A0A178ULS9	AXX17_At5g42250	GO:0045735		3702	AXX17_At5g42250	F
UniProtKB	A0A178ULS9	AXX17_At5g42250	GO:0045735		3702	AXX17_At5g42250	F
UniProtKB	A0A178UNV4	AXX17_At5g53850	GO:0045735		3702	AXX17_At5g53850,AN1_LOCUS25745,AT9943_LOCUS22184,C24_LOCUS25573	F
UniProtKB	A0A178UNV4	AXX17_At5g53850	GO:0045735		3702	AXX17_At5g53850,AN1_LOCUS25745,AT9943_LOCUS22184,C24_LOCUS25573	F
UniProtKB	A0A178UNV4	AXX17_At5g53850	GO:0045735		3702	AXX17_At5g53850,AN1_LOCUS25745,AT9943_LOCUS22184,C24_LOCUS25573	F
UniProtKB	A0A178UP19	AXX17_At5g24670	GO:0045735		3702	AXX17_At5g24670	F
UniProtKB	A0A178UP82	AXX17_At5g50040	GO:0045735		3702	AXX17_At5g50040,At5g51260,AN1_LOCUS25371,AT9943_LOCUS21875,C24_LOCUS25201	F
UniProtKB	A0A178UTK5	AXX17_At4g29050	GO:0045735		3702	AXX17_At4g29050,AN1_LOCUS19258,AT9943_LOCUS16609,C24_LOCUS19158	F
UniProtKB	A0A178UU13	AXX17_At4g31320	GO:0045735		3702	AXX17_At4g31320,AN1_LOCUS19487,AT9943_LOCUS16823,C24_LOCUS19381	F
UniProtKB	A0A178UU13	AXX17_At4g31320	GO:0045735		3702	AXX17_At4g31320,AN1_LOCUS19487,AT9943_LOCUS16823,C24_LOCUS19381	F
UniProtKB	A0A178UU13	AXX17_At4g31320	GO:0045735		3702	AXX17_At4g31320,AN1_LOCUS19487,AT9943_LOCUS16823,C24_LOCUS19381	F
UniProtKB	A0A178UUE6	AXX17_At4g31310	GO:0045735		3702	AXX17_At4g31310,AN1_LOCUS19486,AT9943_LOCUS16822,C24_LOCUS19380	F
UniProtKB	A0A178UUE6	AXX17_At4g31310	GO:0045735		3702	AXX17_At4g31310,AN1_LOCUS19486,AT9943_LOCUS16822,C24_LOCUS19380	F
UniProtKB	A0A178UUE6	AXX17_At4g31310	GO:0045735		3702	AXX17_At4g31310,AN1_LOCUS19486,AT9943_LOCUS16822,C24_LOCUS19380	F
UniProtKB	A0A178UXL9	AXX17_At4g31290	GO:0045735		3702	AXX17_At4g31290,C24_LOCUS19378	F
UniProtKB	A0A178UXL9	AXX17_At4g31290	GO:0045735		3702	AXX17_At4g31290,C24_LOCUS19378	F
UniProtKB	A0A178UXL9	AXX17_At4g31290	GO:0045735		3702	AXX17_At4g31290,C24_LOCUS19378	F
UniProtKB	A0A178UY20	AXX17_At4g33610	GO:0045735		3702	AXX17_At4g33610	F
UniProtKB	A0A178V1B5	AXX17_At4g31300	GO:0045735		3702	AXX17_At4g31300,AN1_LOCUS19485,C24_LOCUS19379	F
UniProtKB	A0A178V1B5	AXX17_At4g31300	GO:0045735		3702	AXX17_At4g31300,AN1_LOCUS19485,C24_LOCUS19379	F
UniProtKB	A0A178V1B5	AXX17_At4g31300	GO:0045735		3702	AXX17_At4g31300,AN1_LOCUS19485,C24_LOCUS19379	F
UniProtKB	A0A178V3Z1	AXX17_At4g32840	GO:0045735		3702	AXX17_At4g32840,At4g28520	F
UniProtKB	A0A178V3Z1	AXX17_At4g32840	GO:0045735		3702	AXX17_At4g32840,At4g28520	F
UniProtKB	A0A178V3Z1	AXX17_At4g32840	GO:0045735		3702	AXX17_At4g32840,At4g28520	F
UniProtKB	A0A178V3Z1	AXX17_At4g32840	GO:0045735		3702	AXX17_At4g32840,At4g28520	F
UniProtKB	A0A178VNB4	AXX17_At2g35460	GO:0045735		3702	AXX17_At2g35460,AN1_LOCUS10323,AT9943_LOCUS8863,C24_LOCUS10167	F
UniProtKB	A0A178VNT7	AXX17_At2g24790	GO:0045735		3702	AXX17_At2g24790,At2g28680,AN1_LOCUS9273	F
UniProtKB	A0A178VNT7	AXX17_At2g24790	GO:0045735		3702	AXX17_At2g24790,At2g28680,AN1_LOCUS9273	F
UniProtKB	A0A178VNT7	AXX17_At2g24790	GO:0045735		3702	AXX17_At2g24790,At2g28680,AN1_LOCUS9273	F
UniProtKB	A0A178VNT7	AXX17_At2g24790	GO:0045735		3702	AXX17_At2g24790,At2g28680,AN1_LOCUS9273	F
UniProtKB	A0A178W5K4	AXX17_At1g03150	GO:0045735		3702	AXX17_At1g03150,AN1_LOCUS427,AT9943_LOCUS259,C24_LOCUS339	F
UniProtKB	A0A178W5K4	AXX17_At1g03150	GO:0045735		3702	AXX17_At1g03150,AN1_LOCUS427,AT9943_LOCUS259,C24_LOCUS339	F
UniProtKB	A0A178W5K4	AXX17_At1g03150	GO:0045735		3702	AXX17_At1g03150,AN1_LOCUS427,AT9943_LOCUS259,C24_LOCUS339	F
UniProtKB	A0A178W5K4	AXX17_At1g03150	GO:0045735		3702	AXX17_At1g03150,AN1_LOCUS427,AT9943_LOCUS259,C24_LOCUS339	F
UniProtKB	A0A178WDA0	AXX17_At1g07450	GO:0045735		3702	AXX17_At1g07450,AN1_LOCUS844,C24_LOCUS759	F
UniProtKB	A0A178WDA0	AXX17_At1g07450	GO:0045735		3702	AXX17_At1g07450,AN1_LOCUS844,C24_LOCUS759	F
UniProtKB	A0A178WDA0	AXX17_At1g07450	GO:0045735		3702	AXX17_At1g07450,AN1_LOCUS844,C24_LOCUS759	F
UniProtKB	A0A178WDA0	AXX17_At1g07450	GO:0045735		3702	AXX17_At1g07450,AN1_LOCUS844,C24_LOCUS759	F
UniProtKB	A0A178WE94	AXX17_At1g03160	GO:0045735		3702	AXX17_At1g03160	F
UniProtKB	A0A178WE94	AXX17_At1g03160	GO:0045735		3702	AXX17_At1g03160	F
UniProtKB	A0A178WE94	AXX17_At1g03160	GO:0045735		3702	AXX17_At1g03160	F
UniProtKB	A0A178WE94	AXX17_At1g03160	GO:0045735		3702	AXX17_At1g03160	F
UniProtKB	A0A178WEF3	AXX17_At1g03340	GO:0045735		3702	AXX17_At1g03340,AN1_LOCUS445,AT9943_LOCUS274,C24_LOCUS357	F
UniProtKB	A0A1P8B543	CRU3	GO:0045735		3702	CRU3,CRC,CRUCIFERIN C,cruciferin 3,At4g28520,F20O9.210,F20O9_210	F
UniProtKB	A0A1P8B543	CRU3	GO:0045735		3702	CRU3,CRC,CRUCIFERIN C,cruciferin 3,At4g28520,F20O9.210,F20O9_210	F
