GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0A024QYU9	EIF3S8	GO:0001732		9606	EIF3S8,EIF3C,hCG_201185	P
UniProtKB	A0A024QYX7	EIF3S8	GO:0001732		9606	EIF3S8,EIF3C,hCG_201185	P
UniProtKB	A0A024QYX8	WAS	GO:0030041		9606	WAS,hCG_19822	P
UniProtKB	A0A024QZC4	P8	GO:0065003		9606	P8,hCG_1745228	P
UniProtKB	A0A024QZP6	H2AFY2	GO:0006334		9606	H2AFY2,hCG_25264	P
UniProtKB	A0A024QZP6	H2AFY2	GO:0006334		9606	H2AFY2,hCG_25264	P
UniProtKB	A0A024QZU0	RIPK1	GO:1901026		9606	RIPK1,hCG_22874	P
UniProtKB	A0A024QZY1	JTV1	GO:0065003		9606	JTV1,hCG_2008782	P
UniProtKB	A0A024QZY7	GMNN	GO:0065003		9606	GMNN,hCG_37510	P
UniProtKB	A0A024R036	DAB2	GO:0048268		9606	DAB2,hCG_1818367	P
UniProtKB	A0A024R0C6	KCND3	GO:0051260		9606	KCND3,hCG_40081	P
UniProtKB	A0A024R0R9	NAPA	GO:0016082		9606	NAPA,hCG_20549	P
UniProtKB	A0A024R0V4	VASP	GO:0051289		9606	VASP,hCG_20727	P
UniProtKB	A0A024R170	hCG_1723797	GO:0006334		9606	hCG_1723797	P
UniProtKB	A0A024R1X4	hCG_16955	GO:0033617		9606	hCG_16955	P
UniProtKB	A0A024R1X4	hCG_16955	GO:0033617		9606	hCG_16955	P
UniProtKB	A0A024R209	TRPM1	GO:0051262		9606	TRPM1,hCG_37570	P
UniProtKB	A0A024R212	TRPM1	GO:0051262		9606	TRPM1,hCG_37570	P
UniProtKB	A0A024R216	HDGFRP3	GO:0046785		9606	HDGFRP3,hCG_1811535	P
UniProtKB	A0A024R2L6	RPSA	GO:0000028		9606	RPSA,hCG_1997894	P
UniProtKB	A0A024R357	SHQ1	GO:0000493		9606	SHQ1,hCG_1647374	P
UniProtKB	A0A024R406	KCTD18	GO:0051260		9606	KCTD18,hCG_16563	P
UniProtKB	A0A024R408	ARPC2	GO:0030041		9606	ARPC2,hCG_16304	P
UniProtKB	A0A024R445	BCS1L	GO:0034551		9606	BCS1L,hCG_16303	P
UniProtKB	A0A024R471	COPS7B	GO:0010387		9606	COPS7B,hCG_33982	P
UniProtKB	A0A024R478	COPS7B	GO:0010387		9606	COPS7B,hCG_33982	P
UniProtKB	A0A024R4A8	BOK	GO:0051259		9606	BOK,BCL2L9,BOKL,hCG_33052	P
UniProtKB	A0A024R4D1	COPS8	GO:0010387		9606	COPS8,hCG_1776875	P
UniProtKB	A0A024R5J6	CHCHD8	GO:0033617		9606	CHCHD8,hCG_27334	P
UniProtKB	A0A024R5K6	NDUFC2	GO:0032981		9606	NDUFC2,hCG_1643251	P
UniProtKB	A0A024R5L7	PICALM	GO:0048268		9606	PICALM,hCG_1730090	P
UniProtKB	A0A024R5M3	CTTN	GO:0030041		9606	CTTN,hCG_23463	P
UniProtKB	A0A024R5P1	PICALM	GO:0048268		9606	PICALM,hCG_1730090	P
UniProtKB	A0A024R5S5	EIF3S1	GO:0001732		9606	EIF3S1,EIF3J,hCG_39324	P
UniProtKB	A0A024R5U5	ADAM10	GO:0046931		9606	ADAM10,hCG_40040	P
UniProtKB	A0A024R5V1	TRPM7	GO:0051262		9606	TRPM7,hCG_39859	P
UniProtKB	A0A024R5Z3	SMAD3	GO:0007183		9606	SMAD3,hCG_22521	P
UniProtKB	A0A024R642	GCH1	GO:0065003		9606	GCH1,hCG_22618	P
UniProtKB	A0A024R687	PLEKHC1	GO:0033622		9606	PLEKHC1,hCG_20966	P
UniProtKB	A0A024R6K5	EVL	GO:0051289		9606	EVL,hCG_22886	P
UniProtKB	A0A024R6P8	BRF1	GO:0070897		9606	BRF1,hCG_19130	P
UniProtKB	A0A024R702	CGI-38	GO:0046785		9606	CGI-38,hCG_1775393	P
UniProtKB	A0A024R726	PRMT7	GO:0000387		9606	PRMT7,hCG_28114	P
UniProtKB	A0A024R7G4	ASF1B	GO:0006334		9606	ASF1B,hCG_27531	P
UniProtKB	A0A024R806	MGC10911	GO:0043248		9606	MGC10911,hCG_19463	P
UniProtKB	A0A024R821	EIF3S9	GO:0001732		9606	EIF3S9,EIF3B,hCG_1998988	P
UniProtKB	A0A024R892	LRRC8A	GO:0034214		9606	LRRC8A,hCG_1643753	P
UniProtKB	A0A024R895	SET	GO:0006334		9606	SET,hCG_40357	P
UniProtKB	A0A024R8E2	ABL1	GO:0030041		9606	ABL1,hCG_28416	P
UniProtKB	A0A024R8H5	TRAF2	GO:0065003		9606	TRAF2,hCG_27634	P
UniProtKB	A0A024R8P8	RPL38	GO:0034463		9606	RPL38,hCG_1986031	P
UniProtKB	A0A024R903	LZTR2	GO:0048208		9606	LZTR2,hCG_2025068	P
UniProtKB	A0A024R9H6	PTK2	GO:0007172		9606	PTK2,hCG_20739	P
