1	1.0	RGP1	YDR137W	STT3	YGL022W	EFM2	YBR271W	n/a	YJL016W	YSC84	YHR016C
2	0.0395	CDC11	YJR076C	n/a	YGR017W	AHC1	YOR023C	ANR2	YKL047W	GIS4	YML006C
3	1.0	n/a	YNL013C	SHG1	YBR258C	CPR4	YCR069W	LAM5	YFL042C	DUO1	YGL061C
4	1.0	SRL3	YKR091W	CAN1	YEL063C	SIN3	YOL004W	GRC3	YLL035W	n/a	YDR199W
5	1.0	RIO2	YNL207W	n/a	YMR075C-A	PRP18	YGR006W	GAL83	YER027C	UBC8	YEL012W
6	0.1261	SRN2	YLR119W	BDH2	YAL061W	PRB1	YEL060C	ATG8	YBL078C	CSI1	YMR025W
7	1.0	n/a	YBR200W-A	SIA1	YOR137C	SEO1	YAL067C	n/a	YGR017W	DOP1	YDR141C
8	1.0	RPF1	YHR088W	RAD17	YOR368W	CEG1	YGL130W	LSM1	YJL124C	n/a	YML009W-B
9	1.0	HFI1	YPL254W	GMH1	YKR030W	HSH155	YMR288W	MET13	YGL125W	RDL2	YOR286W
10	1.0	SNF1	YDR477W	MRN1	YPL184C	n/a	YPR197C	MVD1	YNR043W	POP8	YBL018C
SUM		Min (p-val)	0.0395	Max (p-val)	1.0	Mean (p-val)	0.8165600000000002
1	1.0	THO2	YNL139C	YIG1	YPL201C	KGD2	YDR148C	n/a	YNL046W	n/a	YHR063W-A
2	1.0	SNN1	YNL086W	DBP3	YGL078C	YCS4	YLR272C	n/a	YNL276C	NSG2	YNL156C
3	1.0	SSA2	YLL024C	n/a	YBL077W	n/a	YPR147C	ASR1	YPR093C	n/a	YBL029C-A
4	1.0	CNL1	YDR357C	n/a	YDR366C	SSK1	YLR006C	POL3	YDL102W	RMI1	YPL024W
5	1.0	CDC31	YOR257W	DUS1	YML080W	LEU9	YOR108W	RPN1	YHR027C	RPS25B	YLR333C
6	1.0	SUA5	YGL169W	n/a	YDR262W	GEF1	YJR040W	n/a	YFL015C	SNO4	YMR322C
7	1.0	BAR1	YIL015W	NEO1	YIL048W	n/a	YER152C	EAF1	YDR359C	HSL1	YKL101W
8	1.0	ATP2	YJR121W	ECM5	YMR176W	RDL1	YOR285W	ZRT2	YLR130C	STE20	YHL007C
9	1.0	MRX4	YPL168W	SPO73	YER046W	IMA1	YGR287C	SSK2	YNR031C	URM1	YIL008W
10	1.0	MRX4	YPL168W	HNT1	YDL125C	URE2	YNL229C	SEC28	YIL076W	n/a	YPR010C-A
SUM		Min (p-val)	1.0	Max (p-val)	1.0	Mean (p-val)	1.0
1	1.0	DYS1	YHR068W	n/a	YMR206W	RPP2A	YOL039W	TY1B-PR2	YPR158W-B	SDC1	YDR469W
2	1.0	RPS27B	YHR021C	MXR1	YER042W	RAD14	YMR201C	n/a	YOR318C	NOP53	YPL146C
3	1.0	TRL1	YJL087C	TPM1	YNL079C	n/a	YDR220C	FIG2	YCR089W	TOM7	YNL070W
4	1.0	n/a	YPL197C	PGS1	YCL004W	AHC2	YCR082W	HTL1	YCR020W-B	n/a	YOR041C
5	1.0	COS7	YDL248W	GPI19	YDR437W	PCM1	YEL058W	BUD7	YOR299W	MIX23	YBL107C
6	1.0	GFD2	YCL036W	DOS2	YDR068W	n/a	YGR121W-A	KEX2	YNL238W	CKB1	YGL019W
7	1.0	n/a	YMR155W	VPS68	YOL129W	SXM1	YDR395W	PKP2	YGL059W	FIG1	YBR040W
8	1.0	CMD1	YBR109C	SNF5	YBR289W	MDG1	YNL173C	PSO2	YMR137C	MET1	YKR069W
9	0.0825	n/a	YPL014W	ALO1	YML086C	FAU1	YER183C	UBP14	YBR058C	ADH1	YOL086C
10	1.0	n/a	YLR407W	PET122	YER153C	EMC3	YKL207W	TEF1	YPR080W	n/a	YKL177W
SUM		Min (p-val)	0.0825	Max (p-val)	1.0	Mean (p-val)	0.90825
1	1.0	PSY2	YNL201C	SEC10	YLR166C	YSP3	YOR003W	n/a	YLL056C	HGH1	YGR187C
2	1.0	YEA4	YEL004W	ULI1	YFR026C	n/a	YDR220C	VAB2	YEL005C	MES1	YGR264C
3	1.0	SBA1	YKL117W	SOD1	YJR104C	MLH2	YLR035C	SPO1	YNL012W	RGD2	YFL047W
4	1.0	CWC21	YDR482C	REC107	YJR021C	n/a	YDR203W	RPL38	YLR325C	WSC4	YHL028W
5	1.0	OPI8	YKR035C	UTP30	YKR060W	n/a	YML101C-A	HXT13	YEL069C	POR2	YIL114C
6	1.0	HHT1	YNL031C	HMRA1	YCR097W	PIF1	YML061C	TDP1	YBR223C	n/a	YML079W
7	1.0	PDE1	YGL248W	ESC2	YDR363W	ODC2	YOR222W	RPF1	YHR088W	MDM20	YOL076W
8	1.0	HMI1	YOL095C	AST2	YER101C	CAF20	YOR276W	TFC3	YAL001C	RPR2	YIR015W
9	1.0	DAN4	YJR151C	n/a	YLR101C	MCM22	YJR135C	RNH70	YGR276C	RPD3	YNL330C
10	0.0985	n/a	YDL124W	GPX1	YKL026C	HRR25	YPL204W	n/a	YHR212W-A	SWP82	YFL049W
SUM		Min (p-val)	0.0985	Max (p-val)	1.0	Mean (p-val)	0.9098499999999999
