Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG2328	1.0	1.0	6	6	6	6	1	1	0	0	1	1	1	1	1	1	1	1	1	1	
KOG4593	1.0	1.0	6	6	6	6	1	1	0	0	1	1	1	1	1	1	1	1	1	1	
ENOG502S6UI	1.0	1.0	4	4	4	4	1	1	0	0	0	0	1	1	1	1	0	0	1	1	
KOG0995	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG1525	1.0	1.0	14	14	7	7	1	6	1	1	1	1	1	2	1	2	1	1	1	1	
KOG1213	1.0	1.0	18	18	7	7	1	4	1	2	1	1	1	5	1	3	1	1	1	2	
KOG1020	1.0	1.0	8	8	7	7	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
KOG2300	1.0	1.0	5	5	5	5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
KOG0933	1.0	1.0	8	8	7	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
KOG0964	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG0798	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG4497	1.0	1.0	4	4	4	4	1	1	0	0	0	0	1	1	1	1	0	0	1	1	
KOG0413	1.0	1.0	5	5	5	5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
KOG2025	1.0	1.0	6	6	6	6	1	1	0	0	1	1	1	1	1	1	1	1	1	1	
KOG0414	1.0	1.0	7	7	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
KOG4256	1.0	1.0	4	4	4	4	0	0	1	1	1	1	1	1	1	1	0	0	0	0	
KOG1853	1.0	1.0	7	7	4	4	0	0	1	1	1	1	1	3	1	2	0	0	0	0	
KOG0996	0.92857	0.88889	8	9	7	7	1	1	1	2	1	1	1	1	1	1	1	1	1	1	
KOG2359	0.9	0.83333	5	6	5	5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	
KOG4438	0.9	0.83333	5	6	5	5	1	1	0	0	0	0	1	1	1	1	1	1	1	1	
KOG1374	0.88095	0.83333	10	12	7	7	1	2	1	1	1	2	1	1	1	2	1	1	1	1	
KOG2893	0.8	0.83333	5	6	4	5	0	0	1	1	1	1	1	2	1	1	0	0	0	0	
KOG0243	0.78571	0.53846	7	13	6	7	0	0	1	1	1	1	1	1	1	1	1	2	1	1	
KOG2956	0.75	0.81818	9	11	4	5	0	0	1	3	1	1	1	3	1	2	0	0	0	0	
KOG4302	0.75	0.42105	8	19	5	6	0	0	0	0	1	2	1	3	1	1	1	1	1	1	
KOG0423	0.75	0.75	3	4	3	4	0	0	0	0	1	1	1	1	1	1	0	0	0	0	
KOG2933	0.75	0.5	4	8	3	4	0	0	1	1	1	1	0	0	1	2	0	0	0	0	
KOG1949	0.75	0.75	3	4	3	4	0	0	1	1	0	0	1	1	1	1	0	0	0	0	
KOG0580	0.71429	0.71429	10	14	5	7	0	0	1	2	1	2	1	2	1	3	0	0	1	1	
KOG3014	0.71429	0.55556	5	9	5	7	1	1	1	1	1	1	0	0	0	0	1	1	1	1	
KOG1849	0.64286	0.5	5	10	5	7	0	0	1	1	1	1	0	0	1	1	1	1	1	1	
KOG0239	0.61429	0.25	10	40	6	7	0	0	1	2	1	1	1	1	1	3	1	1	1	2	
KOG2011	0.52381	0.375	6	16	5	7	0	0	1	1	1	1	0	0	1	2	1	1	1	1	
KOG0247	0.50833	0.36364	4	11	4	4	0	0	1	1	1	1	1	1	1	1	0	0	0	0	
ENOG502QQ4Z	0.5	0.4	2	5	2	4	0	0	1	1	0	0	0	0	1	1	0	0	0	0	
KOG3958	0.5	0.5	2	4	2	4	0	0	0	0	1	1	0	0	1	1	0	0	0	0	
KOG3934	0.5	0.4	2	5	2	4	0	0	1	1	1	1	0	0	0	0	0	0	0	0	
KOG0018	0.4881	0.46154	6	13	5	7	0	0	1	1	0	0	1	2	1	1	1	1	1	1	
KOG0575	0.45	0.23529	4	17	4	6	0	0	0	0	1	1	0	0	1	1	1	1	1	1	
KOG0242	0.44444	0.26829	11	41	5	6	0	0	0	0	1	2	1	1	1	4	1	1	1	3	
KOG1101	0.44444	0.18182	4	22	4	6	0	0	1	1	0	0	1	1	0	0	1	1	1	1	
KOG2911	0.42857	0.42857	3	7	3	7	0	0	0	0	0	0	1	1	1	1	0	0	1	1	
KOG0421	0.4	0.33333	2	6	2	5	0	0	0	0	1	1	0	0	1	1	0	0	0	0	
KOG2163	0.4	0.4	2	5	2	5	0	0	0	0	1	1	0	0	1	1	0	0	0	0	
KOG2139	0.375	0.4	2	5	2	4	0	0	0	0	1	1	0	0	1	1	0	0	0	0	
KOG4233	0.375	0.4	2	5	2	4	0	0	0	0	0	0	1	1	1	1	0	0	0	0	
KOG3564	0.375	0.22222	2	9	2	4	0	0	1	1	0	0	0	0	1	1	0	0	0	0	
KOG3000	0.35714	0.18182	4	22	4	7	0	0	0	0	1	1	0	0	1	1	1	1	1	1	
KOG1820	0.35714	0.36364	4	11	3	7	1	1	0	0	1	1	0	0	0	0	0	0	1	2	
KOG0355	0.33333	0.17647	3	17	3	7	0	0	1	1	1	1	0	0	0	0	0	0	1	1	
KOG3595	0.33333	0.04167	2	48	2	6	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
KOG1873	0.3	0.28571	2	7	2	5	0	0	0	0	0	0	1	1	1	1	0	0	0	0	
KOG1724	0.28571	0.03704	2	54	2	7	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
KOG3034	0.28571	0.25	2	8	2	7	0	0	0	0	0	0	1	1	1	1	0	0	0	0	
KOG1036	0.28571	0.22222	2	9	2	7	0	0	0	0	0	0	0	0	1	1	0	0	1	1	
KOG3232	0.28571	0.33333	3	9	2	7	0	0	0	0	0	0	1	1	1	2	0	0	0	0	
KOG2464	0.28571	0.08333	2	24	2	7	0	0	0	0	0	0	0	0	1	1	0	0	1	1	
KOG3285	0.28571	0.28571	2	7	2	7	0	0	0	0	0	0	0	0	1	1	1	1	0	0	
KOG2095	0.28571	0.2	2	10	2	7	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
KOG0096	0.28571	0.16667	2	12	2	7	0	0	0	0	0	0	1	1	1	1	0	0	0	0	
KOG0424	0.28571	0.22222	2	9	2	7	0	0	0	0	0	0	0	0	1	1	1	1	0	0	
KOG2445	0.28571	0.25	2	8	2	7	0	0	0	0	0	0	1	1	1	1	0	0	0	0	
