Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG1653	1.0	1.0	6	6	5	5	Q84J78,Q9LII1	P34496	P54622	B8A5I7	Q04837			Q84J78,Q9LII1	P34496	P54622	B8A5I7	Q04837			
KOG2373	0.75	0.75	3	4	3	4		Q5WRT0	Q9VL76	A0A0R4ICC1	Q96RR1				Q5WRT0	Q9VL76		Q96RR1			
KOG4408	0.6	0.57143	4	7	4	5	Q9LND7	Q95PW5	Q8IPQ6	Q6TGW1,F1R287	Q9UK99,Q9Y2S7				Q95PW5	Q8IPQ6	Q6TGW1	Q9Y2S7			
KOG0953	0.57143	0.625	5	8	4	7	F4KFV7,Q9SMX1	Q17828	Q9VN03	A4IG62	Q8IYB8	P32580	O94445	F4KFV7,Q9SMX1			A4IG62	Q8IYB8	P32580		
KOG3657	0.5	0.5	3	6	3	6		Q9U208	Q27607	F8W5R6	P54098	P15801	Q12704			Q27607	F8W5R6	P54098			
KOG0742	0.46667	0.3	3	10	3	5	Q0WVF7,Q8RXI0,Q9ZPW5,F4JQE9	Q20748	Q9VEX6	F1QRF8	Q9NVI7,Q5T9A4,Q5T2N8				Q20748	Q9VEX6		Q9NVI7			
KOG0559	0.28571	0.25	2	8	2	7	Q9FLQ4,Q8H107	O45148	Q9VGQ1	F1QFQ6	P36957	P19262	O94681						P19262	O94681	
KOG1038	0.28571	0.22222	2	9	2	7	P92969,Q9LFV6,O24600	A5PEY3	Q9VPW4	A0A0R4ILV6	O00411	P13433	O13993					O00411	P13433		
KOG0450	0.28571	0.16667	2	12	2	7	Q9FLH2,F4IWV2	O61199	Q95T35,A8JNU6	E7EZ05,B8JI08,E7FGK9	Q02218,Q9ULD0	P20967	O74378						P20967	O74378	
KOG0821	0.25	0.25	1	4	1	4		P91424	Q9VTM5	F1QQ24	Q8WVM0							Q8WVM0			
KOG0473	0.25	0.25	1	4	1	4		Q95ZS5	Q9VT05	Q6NWG1	Q96AG4							Q96AG4			
KOG4318	0.25	0.2	1	5	1	4		O01470	Q9VJ86,Q9W592	F5H8N4	P42704							P42704			
KOG1199	0.25	0.25	1	4	1	4		Q19102	O18404	Q5XJS8	Q99714							Q99714			
KOG0102	0.2381	0.21429	3	14	2	7	Q9STW6,Q9LTX9,Q8GUM2,Q9LDZ0,P0DKI0,B3H683	P11141	P29845	F1QFC0	P38646	P0CS90,P39987,Q05931	P22774					P38646	P0CS90,P39987		
