GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	A0A010Q8L5	CFIO01_11766	involved_in	GO:0002182	P	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR044076	1445577	InterPro		20220419
UniProtKB	A0A010QER7	TIF32	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106208	1445577	UniProt		20220419
UniProtKB	A0A010QER7	TIF32	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106208	1445577	UniProt		20220419
UniProtKB	A0A010QQG0	NIP1	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106250	1445577	UniProt		20220419
UniProtKB	A0A010QQG0	NIP1	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106250	1445577	UniProt		20220419
UniProtKB	A0A010QTW7	HCR1	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107094	1445577	UniProt		20220419
UniProtKB	A0A010QTW7	HCR1	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107094	1445577	UniProt		20220419
UniProtKB	A0A010QXW3	PRT1	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106119	1445577	UniProt		20220419
UniProtKB	A0A010QXW3	PRT1	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106119	1445577	UniProt		20220419
UniProtKB	A0A010RBS1	CFIO01_11493	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106280	1445577	UniProt		20220419
UniProtKB	A0A010RBS1	CFIO01_11493	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106280	1445577	UniProt		20220419
UniProtKB	A0A010RE89	CFIO01_07964	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107116	1445577	UniProt		20220419
UniProtKB	A0A010RE89	CFIO01_07964	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107116	1445577	UniProt		20220419
UniProtKB	A0A010REZ3	CFIO01_10245	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107134	1445577	UniProt		20220419
UniProtKB	A0A010REZ3	CFIO01_10245	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107134	1445577	UniProt		20220419
UniProtKB	A0A010RFI0	CFIO01_06458	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107107	1445577	UniProt		20220419
UniProtKB	A0A010RFI0	CFIO01_06458	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107107	1445577	UniProt		20220419
UniProtKB	A0A010RKF2	CFIO01_00344	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106465	1445577	UniProt		20220419
UniProtKB	A0A010RKF2	CFIO01_00344	involved_in	GO:0002183	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106465	1445577	UniProt		20220419
UniProtKB	A0A010RNV7	CFIO01_00645	involved_in	GO:0002181	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000166012	1445577	UniProt		20220419
UniProtKB	A0A010RQB5	CFIO01_11124	involved_in	GO:0001732	P	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000106267	1445577	UniProt		20220419
