Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG0243	1.0	1.0	13	13	7	7	Q8VWI7,F4IIS5,Q0WQJ7,P82266,Q9LZU5	G5ECF4	P46863,Q7KVC2	F1QK82	P52732	P27895,P28742	P24339	Q8VWI7,F4IIS5,Q0WQJ7,P82266,Q9LZU5	G5ECF4	P46863,Q7KVC2	F1QK82	P52732	P27895,P28742	P24339	
KOG0239	1.0	1.0	40	40	7	7	F4KEC6,Q9LX99,Q9FKP4,Q07970,F4JGP4,Q9FHN8,Q8W1Y3,O81635,F4HZF0,F4IL57,B3H6Z8,F4JX00,F4J2M6,P46864,P46875,F4IAR2,Q0WN69,F4IBQ9,F4IJK6,F4K4C5,F4I1T9,Q8W0Y9	P45962,G5ECC0,P91400,Q23124	P20480	Q1LUU7,F1Q8U4,F1Q4T1,A2BFV6,F1QPR6	Q9P2E2,Q9UIL4,Q9BW19,Q96AC6,Q9BVG8	P17119	Q92376,Q9US03	F4KEC6,Q9LX99,Q9FKP4,Q07970,F4JGP4,Q9FHN8,Q8W1Y3,O81635,F4HZF0,F4IL57,B3H6Z8,F4JX00,F4J2M6,P46864,P46875,F4IAR2,Q0WN69,F4IBQ9,F4IJK6,F4K4C5,F4I1T9,Q8W0Y9	P45962,G5ECC0,P91400,Q23124	P20480	Q1LUU7,F1Q8U4,F1Q4T1,A2BFV6,F1QPR6	Q9P2E2,Q9UIL4,Q9BW19,Q96AC6,Q9BVG8	P17119	Q92376,Q9US03	
KOG0972	1.0	1.0	4	4	4	4		Q93833	Q9VQS5	Q6IVW0	Q9NWB7				Q93833	Q9VQS5	Q6IVW0	Q9NWB7			
KOG2247	1.0	1.0	4	4	4	4		G5ECZ4	A1ZBM3	E7FGG5	Q8NEZ3				G5ECZ4	A1ZBM3	E7FGG5	Q8NEZ3			
ENOG502RYYR	1.0	1.0	4	4	4	4		Q8TA52	A1Z6F0	Q66I67	Q8IY31				Q8TA52	A1Z6F0	Q66I67	Q8IY31			
ENOG502QPNA	1.0	1.0	4	4	4	4		Q0G838	Q9VJ72	A7MBP4	E9PR06				Q0G838	Q9VJ72	A7MBP4	E9PR06			
KOG3785	1.0	1.0	4	4	4	4		Q95QT8	Q9VF41	Q5PR66	A0AVF1				Q95QT8	Q9VF41	Q5PR66	A0AVF1			
KOG1853	1.0	1.0	7	7	4	4		O45717	Q9VT70	Q7SXI6,Q803Q2,A0A0R4IFA2	Q9NXR1,Q9GZM8				O45717	Q9VT70	Q7SXI6,Q803Q2,A0A0R4IFA2	Q9NXR1,Q9GZM8			
KOG3616	1.0	1.0	4	4	4	4		Q22830	Q9W040	Q5RHH4	Q9UG01				Q22830	Q9W040	Q5RHH4	Q9UG01			
KOG4340	1.0	1.0	5	5	4	4		Q8I7G4	Q9VK41	A7YE96	Q86WT1,Q8N4P2				Q8I7G4	Q9VK41	A7YE96	Q86WT1,Q8N4P2			
KOG0245	1.0	1.0	22	22	4	4		P23678,G5EFQ4	A1ZAJ2,Q9VB25,Q9VIP4	A0A0R4IM96,F8W2L7,X1WEA6,E7F0X8,F1RCT7,B0S7L9,F1Q554,X1WHC0,F1QBV5,F1QBI0,X1WEK9	Q96L93,Q15058,Q12756,O60333,O43896,Q9P2P6				P23678,G5EFQ4	A1ZAJ2,Q9VB25,Q9VIP4	A0A0R4IM96,F8W2L7,X1WEA6,E7F0X8,F1RCT7,B0S7L9,F1Q554,X1WHC0,F1QBV5,F1QBI0,X1WEK9	Q96L93,Q15058,Q12756,O60333,O43896,Q9P2P6			
KOG3861	1.0	1.0	4	4	4	4		G5EDF6	Q9VMC0	A8DZG0	Q9Y366				G5EDF6	Q9VMC0	A8DZG0	Q9Y366			
KOG2003	1.0	1.0	4	4	4	4		G5ED37	Q7KRS6	F1QVN7	Q13099				G5ED37	Q7KRS6	F1QVN7	Q13099			
KOG0247	1.0	1.0	11	11	4	4		Q8MQ04	Q9V877,Q9VZF5	F1QDF0,E7FAN6,Q7ZU82,X1WGN9,Q9PUU5	O95235,Q96Q89,Q02241				Q8MQ04	Q9V877,Q9VZF5	F1QDF0,E7FAN6,Q7ZU82,X1WGN9,Q9PUU5	O95235,Q96Q89,Q02241			
KOG3929	1.0	1.0	4	4	4	4		Q19119	Q9VLB9	Q7SXY4	Q8TCX1				Q19119	Q9VLB9	Q7SXY4	Q8TCX1			
KOG3809	1.0	1.0	4	4	4	4		Q17595	Q9VFL0	Q6PGZ3	Q8TDR0				Q17595	Q9VFL0	Q6PGZ3	Q8TDR0			
KOG4115	1.0	1.0	14	14	4	4		Q22752	Q7KMS3,Q9W168,Q9VQA6,Q9VJ18,Q7JQ02,Q9W0F0,Q6IG91,Q4QPW2,Q9V9P1	Q7ZUX8,K7DY76	Q9NP97,Q8TF09				Q22752	Q7KMS3,Q9W168,Q9VQA6,Q9VJ18,Q7JQ02,Q9W0F0,Q6IG91,Q4QPW2,Q9V9P1	Q7ZUX8,K7DY76	Q9NP97,Q8TF09			
KOG4108	1.0	1.0	11	11	4	4		Q18917	Q7K035,Q9VH45,A0A0B4LEE2,Q7KUM9	Q66IC8,F1QMY1	Q8IZS6,Q5JR98,Q8N7M0,Q8WW35				Q18917	Q7K035,Q9VH45,A0A0B4LEE2,Q7KUM9	Q66IC8,F1QMY1	Q8IZS6,Q5JR98,Q8N7M0,Q8WW35			
KOG1222	1.0	1.0	5	5	4	4		H2KZP1	Q9VZ07	B8JM83,Q1LWL1	Q92845				H2KZP1	Q9VZ07	B8JM83,Q1LWL1	Q92845			
KOG3905	1.0	1.0	6	6	4	4		G5ED34	Q9VZ20	Q1LUM9,F1RB89	Q9Y6G9,O43237				G5ED34	Q9VZ20	Q1LUM9,F1RB89	Q9Y6G9,O43237			
KOG4081	1.0	1.0	9	9	5	5		Q19416,Q22226	Q94524	Q6TGT3,F1Q5L5,F1RCP5	P63172,P51808		Q9UTS6		Q19416,Q22226	Q94524	Q6TGT3,F1Q5L5,F1RCP5	P63172,P51808		Q9UTS6	
KOG2041	1.0	1.0	4	4	4	4		Q18859	Q9W097	B7ZD88	Q9P2L0				Q18859	Q9W097	B7ZD88	Q9P2L0			
KOG3617	1.0	1.0	4	4	4	4		P90757	Q7KTZ4	F1QG20	Q96RY7				P90757	Q7KTZ4	F1QG20	Q96RY7			
KOG0242	0.99206	0.97561	40	41	6	6	Q5E913,F4KEC6,F4HR11,Q8S905,Q8LNZ2,Q8W5R6,Q8W5R5,F4IGL2,F4JUI9,F4J394,F4JZ68,F4JQ51,F4J8L3,F4K3X8,Q9SJU0,Q9S7P3,F4J2K4,F4ICA0,Q9SCJ4,Q8VY50,A0A1P8BH14		Q9VSW5,Q7KSK2,Q9VKH9,Q9VKI0	A8WFU8,B0V302,F1QET8,E7F2U4	Q02224,Q8NI77,Q86Y91,Q2TAC6,Q14807,Q6ZMV9	P28743,P53086	O14343,O59751,Q1MTQ7,Q1MTQ1	Q5E913,F4KEC6,F4HR11,Q8S905,Q8LNZ2,Q8W5R6,Q8W5R5,F4IGL2,F4JUI9,F4J394,F4JZ68,F4JQ51,F4J8L3,F4K3X8,Q9SJU0,Q9S7P3,F4J2K4,F4ICA0,Q9SCJ4,A0A1P8BH14		Q9VSW5,Q7KSK2,Q9VKH9,Q9VKI0	A8WFU8,B0V302,F1QET8,E7F2U4	Q02224,Q8NI77,Q86Y91,Q2TAC6,Q14807,Q6ZMV9	P28743,P53086	O14343,O59751,Q1MTQ7,Q1MTQ1	
KOG4280	0.96667	0.97436	38	39	5	5	Q9LDN0,Q8L7Y8,Q27IK6,F4J1U4,F4JDI6	Q21441,Q965T6,P46873,G5EBX0,Q19633	P38040,Q9VLW2,P46867,Q9V4A1,A0A126GUN4,Q9VRK9	F1QN54,E7FDX9,E7FFQ3,F1QW58,E7F4J1,F1QP72,F1QV34,E7EXI0,E7FCT0,F1QWH7,E9QB71,F1QCX2,X1WHI2,A0A1D5NSN8	Q9ULI4,Q2KJY2,Q96FN5,Q9NS87,Q9Y496,O15066,O14782,Q6ZMV9,Q9HAQ2			Q9LDN0,Q8L7Y8,Q27IK6,F4J1U4,F4JDI6	Q21441,Q965T6,P46873,G5EBX0,Q19633	Q9VLW2,P46867,Q9V4A1,A0A126GUN4,Q9VRK9	F1QN54,E7FDX9,E7FFQ3,F1QW58,E7F4J1,F1QP72,F1QV34,E7EXI0,E7FCT0,F1QWH7,E9QB71,F1QCX2,X1WHI2,A0A1D5NSN8	Q9ULI4,Q2KJY2,Q96FN5,Q9NS87,Q9Y496,O15066,O14782,Q6ZMV9,Q9HAQ2			
KOG0244	0.95	0.94737	18	19	5	5	Q8GS71,Q94LW7,F4K0J3,Q5XET8	G5EGS3,O45935	P18105,Q9VKW4,Q9XZ29	Q58G59,F1QBD7,E7F2W9,F8W409	Q7Z4S6,O75037,Q86VH2,O95239,Q2VIQ3,Q2M1P5			Q8GS71,Q94LW7,F4K0J3	G5EGS3,O45935	P18105,Q9VKW4,Q9XZ29	Q58G59,F1QBD7,E7F2W9,F8W409	Q7Z4S6,O75037,Q86VH2,O95239,Q2VIQ3,Q2M1P5			
KOG2685	0.95	0.93333	14	15	4	4		Q21641	Q9W1V2,Q9V3M9,Q8T3Z0,Q8I0K9,Q8IRZ1	E7F7G5,A0A0R4IRF0,B8A4G8	Q8WZ33,Q969V4,Q9UIF3,Q9BXF9,Q8WW24,Q96M29				Q21641	Q9W1V2,Q9V3M9,Q8T3Z0,Q8I0K9	E7F7G5,A0A0R4IRF0,B8A4G8	Q8WZ33,Q969V4,Q9UIF3,Q9BXF9,Q8WW24,Q96M29			
KOG1587	0.94545	0.90909	30	33	5	5		Q18263,O45087	Q24246,Q7JR82,Q7KWG3,Q9W0U9,Q9VJY4,T2FGB0,Q8MSJ9,Q9W3L0,Q9W5W4,Q9W0A6,Q9VS90,M9PC80	A1A5Y4,A7MD87,A0A0R4IUW7,A0A0R4IPR1,A0A0G2KK56,E7FDJ4,F1QBY7,E9QFM9,A0A0R4IXD8,A0A0R4IU59,F1QU71	O14576,Q13409,Q8WVS4,Q96EX3,Q9UI46,Q9GZS0,Q8IWG1		O94518		Q18263,O45087	Q24246,Q7JR82,Q7KWG3,Q9W0U9,Q9VJY4,T2FGB0,Q8MSJ9,Q9W3L0,Q9W5W4,Q9W0A6,Q9VS90,M9PC80	A1A5Y4,A7MD87,A0A0R4IUW7,A0A0G2KK56,F1QBY7,E9QFM9,A0A0R4IXD8,A0A0R4IU59	O14576,Q13409,Q8WVS4,Q96EX3,Q9UI46,Q9GZS0,Q8IWG1		O94518	
KOG3595	0.93532	0.9375	45	48	6	6		Q19542,Q19020,Q9XVG4,G5EDV4	P37276,A1ZAD3,Q5LJN5,A0A0B4K614,Q9VAV5,A8Y5B7,Q0KI05,Q9VDG0,Q9VZ77,Q7KVA7,Q5LJP0,Q9VWZ3,Q0E8P6,Q9VJC6	E9QH47,A2BG35,E9QBH9,E7F170,F1RAF1,F1Q8L1,E7EZB9,F1QLA3,I3ITD2,A0A0R4IY79,K7DYK5,K7DY80,F1QB07	Q96M86,Q8IVF4,Q96DT5,Q9UFH2,Q9P2D7,Q9P225,Q8TD57,Q8TE73,Q9C0G6,Q8WXX0,Q96JB1,Q9NYC9,Q14204,Q8NCM8,J3QTM1	P36022	O13290		Q19542,Q19020,G5EDV4	P37276,Q5LJN5,A0A0B4K614,Q9VAV5,A8Y5B7,Q0KI05,Q9VDG0,Q9VZ77,Q7KVA7,Q5LJP0,Q9VWZ3,Q0E8P6,Q9VJC6	E9QH47,A2BG35,E9QBH9,E7F170,F1RAF1,F1Q8L1,E7EZB9,F1QLA3,I3ITD2,A0A0R4IY79,K7DYK5,K7DY80,F1QB07	Q96M86,Q8IVF4,Q96DT5,Q9UFH2,Q9P2D7,Q9P225,Q8TD57,Q8TE73,Q9C0G6,Q8WXX0,Q96JB1,Q9NYC9,Q14204,Q8NCM8	P36022	O13290	
KOG0246	0.93333	0.92308	12	13	5	5	Q940B8,Q940Y8,F4JKX4	Q9XU12	Q960Z0,Q9W1U4,Q9W1U1	B0S7G2,F1RAK1	Q5T7B8,O00139,Q8N4N8,Q99661			Q940B8,Q940Y8	Q9XU12	Q960Z0,Q9W1U4,Q9W1U1	B0S7G2,F1RAK1	Q5T7B8,O00139,Q8N4N8,Q99661			
KOG4360	0.91667	0.875	7	8	4	4		P91503	Q960V3	E9QJ68,A0A0R4IDG7,A0A0R4INI8	P54257,Q9UPV9,O60296				P91503	Q960V3	E9QJ68,A0A0R4IDG7	P54257,Q9UPV9,O60296			
KOG0241	0.88333	0.8	8	10	5	5		Q8MQ20	A1ZA18	E7F985,E7F084,X1WFZ0,X1WD94	Q8N3C7,Q9H1H9,Q9NQT8		Q9UTL2		Q8MQ20	A1ZA18	E7F985,E7F084,X1WFZ0	Q9H1H9,Q9NQT8		Q9UTL2	
KOG0295	0.86667	0.77778	7	9	5	5		Q9NDC9	Q7KNS3	Q7T394,Q803D2,E7F0J3	P43034,Q8N0X2,Q96DN5	P39946			Q9NDC9	Q7KNS3	Q7T394,Q803D2	P43034,Q8N0X2	P39946		
KOG0240	0.85714	0.88889	16	18	7	7	Q9FZ06,Q9LPC6,Q9SV36,Q8GW44	P34540,E9P841	P17210,Q9VC13	B0S8J1,E7F8S2,A0A0R4IRM1,A0A0R4IWI7,F1R5M2	Q12840,O60282,P33176	P32364	Q9US60	Q9FZ06,Q9LPC6,Q9SV36,Q8GW44	P34540	P17210	B0S8J1,E7F8S2,A0A0R4IRM1,A0A0R4IWI7,F1R5M2	Q12840,O60282,P33176	P32364	Q9US60	
KOG4623	0.8	0.8	4	5	4	5		Q22747	A1ZBL2	A4IG66	Q5SNT2		O13681		Q22747	A1ZBL2	A4IG66	Q5SNT2			
KOG4515	0.625	0.57143	4	7	4	4		O01902	Q9VL14,Q9VYT1	Q5XIX8,Q642H2	Q969J3,O60519				O01902	Q9VYT1	Q5XIX8	Q969J3			
KOG0075	0.6	0.36364	4	11	3	5	Q8VY57,Q93Y31,Q8W4C8,F4IZ82	G5EDC6	Q9VHV5	Q6NZW8,F8W2P1,F1RBH2	Q96BM9,Q9NVJ2				G5EDC6	Q9VHV5		Q96BM9,Q9NVJ2			
KOG1059	0.57143	0.57143	4	7	4	7	Q9C744	O16637	P54362	B7ZUU8	O14617	Q08951	Q9UTL8		O16637	P54362	B7ZUU8	O14617			
KOG1078	0.57143	0.55556	5	9	4	7	Q0WW26,F4IKA7	Q22498	Q8I0G5	Q9PUE4	Q9Y678,Q9UBF2	P32074	P87140		Q22498	Q8I0G5	Q9PUE4	Q9Y678,Q9UBF2			
KOG1707	0.57143	0.58333	7	12	4	7	Q8RXF8,F4J0W4,Q9MA88	Q94263	Q8IMX7	Q6NVC5,Q32LU1,A0A0R4IVN5	Q8IXI2,Q8IXI1	P39722	O59781		Q94263	Q8IMX7	Q6NVC5,Q32LU1,A0A0R4IVN5	Q8IXI2,Q8IXI1			
ENOG502QS2X	0.5	0.5	2	4	2	4		Q9NEZ7	Q9VS19	B3DFT2	Q8NFJ9				Q9NEZ7		B3DFT2				
KOG0999	0.5	0.33333	3	9	2	4		V6CJ04	P16568	A4IG44,A0A0G2L2S4,F1RBX3,A0A0G2KFS3,E7F5A6	Q96G01,Q8TD16				V6CJ04			Q96G01,Q8TD16			
KOG3647	0.5	0.5	2	4	2	4		Q6I6D4	Q9VR64	Q7ZVC2	Q96AJ1				Q6I6D4			Q96AJ1			
KOG1524	0.5	0.5	2	4	2	4		G5EGF0	Q9VII8	F1QXI6	Q9P2H3				G5EGF0			Q9P2H3			
KOG3826	0.5	0.375	3	8	2	4		G5EFS0,Q20273,Q9XU88	A0A0B4K6G5,Q9VM74	E7FBR3	Q4ZJI4,Q86UD5						E7FBR3	Q4ZJI4,Q86UD5			
KOG3711	0.5	0.5	2	4	2	4		O44500	Q9VEX5	Q5TZE9	Q9NVM9					Q9VEX5		Q9NVM9			
KOG2077	0.45833	0.42857	3	7	3	4		P34609	Q9GQF1	E7F4K5,F1Q6R7,E9QGL9	Q9UPT6,O60271					Q9GQF1	E9QGL9	Q9UPT6			
KOG0661	0.45238	0.38462	5	13	4	7	P43294,Q8H0X4,F4JSF8	B3WFY8	Q9VL64,R9PY51	F1QUT2	Q9UPZ9,P20794,Q9UQ07	P32581	O43077,O14132		B3WFY8	Q9VL64	F1QUT2	Q9UPZ9,P20794			
KOG3592	0.4375	0.28571	4	14	2	4		P91859,Q18494,A9UJN7	Q9W596	A0A140LH51,B2ZZ14,X1WDB0,R4GF04,B0S6B4,F1Q828	Q8N9W4,P78559,P46821,Q66K74					Q9W596		P78559,P46821,Q66K74			
KOG0597	0.375	0.25	2	8	2	4	F4JY37,Q2QAV0,Q9C8V1		P23647	A8WFS2,E7F1L0	Q9NRP7,Q96C45					P23647		Q9NRP7			
KOG0249	0.375	0.14286	2	14	2	4		Q21049	A8DYM0,M9PCR7	A9C3W3,B0S6H8,X1WCJ5,F1QCN8,A0A0G2L2X4,Q5TZ25	Q674X7,Q13136,O75334,O75145,O75335				Q21049	M9PCR7					
