GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	A0A024A8A5	HAVCR1	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF1	9685	TreeGrafter		20240201
UniProtKB	A0A024A8C7	HAVCR1	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF1	9685	TreeGrafter		20240201
UniProtKB	A0A024A8Z8	HAVCR1	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF1	9685	TreeGrafter		20240201
UniProtKB	A0A060WPG1	GSONMT00076421001	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF1	8022	TreeGrafter		20240201
UniProtKB	A0A060XU84	GSONMT00050648001	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF5	8022	TreeGrafter		20240201
UniProtKB	A0A061I0J2	H671_7g18582	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF1	10029	TreeGrafter		20240201
UniProtKB	A0A061I2R4	H671_7g18583	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF1	10029	TreeGrafter		20240201
UniProtKB	A0A061IP57	H671_1g1827	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47536:SF1	10029	TreeGrafter		20240201
UniProtKB	A0A091DIK4	H920_08452	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47536:SF1	885580	TreeGrafter		20240201
UniProtKB	A0A091DVB7	H920_04521	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF1	885580	TreeGrafter		20240201
UniProtKB	A0A093HTQ5	N308_13854	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O95832|ensembl:ENSP00000295522	441894	Ensembl		20240129
UniProtKB	A0A093I143	N308_12723	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q08357|ensembl:ENSP00000429754	441894	Ensembl		20240129
UniProtKB	A0A096MLP4	HAVCR1	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q96D42|ensembl:ENSP00000427898	9555	Ensembl		20240129
UniProtKB	A0A096MLP4	HAVCR1	enables	GO:0001618	F	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47009:SF1	9555	TreeGrafter		20240201
UniProtKB	A0A096MQA0	XPR1	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z0U0|ensembl:ENSMUSP00000027741	9555	Ensembl		20240129
UniProtKB	A0A096MSZ6	PLSCR1	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O15162|ensembl:ENSP00000345494	9555	Ensembl		20240129
UniProtKB	A0A096MT62	DAG1	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q14118|ensembl:ENSP00000312435	9555	Ensembl		20240129
UniProtKB	A0A096MWQ0	SLC7A1	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q09143|ensembl:ENSMUSP00000046714	9555	Ensembl		20240129
UniProtKB	A0A096MY81	DPP4	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P27487|ensembl:ENSP00000353731	9555	Ensembl		20240129
UniProtKB	A0A096N4M8	CLDN1	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O95832|ensembl:ENSP00000295522	9555	Ensembl		20240129
UniProtKB	A0A096N4X9	ACE2	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9BYF1|ensembl:ENSP00000252519	9555	Ensembl		20240129
UniProtKB	A0A096NA54	GPR15	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P49685|ensembl:ENSP00000284311	9555	Ensembl		20240129
UniProtKB	A0A096NB13	CLDN9	enables	GO:0001618	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O95484|ensembl:ENSP00000398017	9555	Ensembl		20240129
