GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	SLIMMED FROM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0ZWU1	eaf1	GO:0006355	GO:0034243	regulation of transcription elongation from RNA polymerase II promoter	284812	eaf1,SPCC1223.10c	P
UniProtKB	A0ZWU1	eaf1	GO:0006355	GO:0003711	transcription elongation regulator activity	284812	eaf1,SPCC1223.10c	F
UniProtKB	A0ZWU1	eaf1	GO:0006355	GO:0045893	positive regulation of transcription, DNA-templated	284812	eaf1,SPCC1223.10c	P
UniProtKB	A0ZWU1	eaf1	GO:0006355	GO:0006355	regulation of transcription, DNA-templated	284812	eaf1,SPCC1223.10c	P
UniProtKB	A0ZWU1	eaf1	GO:0006351	GO:0006368	transcription elongation from RNA polymerase II promoter	284812	eaf1,SPCC1223.10c	P
UniProtKB	A0ZWU1	eaf1	GO:0006351	GO:0006368	transcription elongation from RNA polymerase II promoter	284812	eaf1,SPCC1223.10c	P
UniProtKB	A0ZWU1	eaf1	GO:0006351	GO:0006368	transcription elongation from RNA polymerase II promoter	284812	eaf1,SPCC1223.10c	P
UniProtKB	A0ZWU1	eaf1	GO:0006355	GO:0003711	transcription elongation regulator activity	284812	eaf1,SPCC1223.10c	F
UniProtKB	A0ZWU1	eaf1	GO:0006355	GO:0003711	transcription elongation regulator activity	284812	eaf1,SPCC1223.10c	F
UniProtKB	A0ZWU1	eaf1	GO:0006355	GO:0045944	positive regulation of transcription by RNA polymerase II	284812	eaf1,SPCC1223.10c	P
UniProtKB	A6X972	gon7	GO:0006399	GO:0008033	tRNA processing	284812	gon7,SPAC6B12.18	P
UniProtKB	A6X972	gon7	GO:0006399	GO:0002949	tRNA threonylcarbamoyladenosine modification	284812	gon7,SPAC6B12.18	P
UniProtKB	A6X980	sfc7	GO:0006351	GO:0006384	transcription initiation from RNA polymerase III promoter	284812	sfc7,tfc7,SPAC1250.07	P
