Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG3462	1.0	1.0	5	5	5	5	Q9SD88	Q09993	Q9VRJ8	Q6PC46	Q9Y284			Q9SD88	Q09993	Q9VRJ8	Q6PC46	Q9Y284			
KOG2265	1.0	1.0	13	13	6	6	Q9LV09,Q9STN7,Q8VXX3	G5EE74	Q9VVA6,Q8IN95	Q6DC89,Q6NV13,A0A0R4IY34	Q8WVJ2,Q8IVD9,Q9Y266		O60166	Q9LV09,Q9STN7,Q8VXX3	G5EE74	Q9VVA6,Q8IN95	Q6DC89,Q6NV13,A0A0R4IY34	Q8WVJ2,Q8IVD9,Q9Y266		O60166	
KOG0674	1.0	1.0	10	10	5	5	O04151,Q38858,O04153	P27798	P29413	Q6PE26,A0A0R4IL29,F1Q8W8	Q96L12,P27797			O04151,Q38858,O04153	P27798	P29413	Q6PE26,A0A0R4IL29,F1Q8W8	Q96L12,P27797			
KOG0675	1.0	1.0	13	13	7	7	P29402,Q38798	P34652	Q9VXF6,Q9I7S9,Q0KHZ9	Q08BY9,F1QKS4	P27824,O14967	P27825	P36581,Q9P7D0	P29402,Q38798	P34652	Q9VXF6,Q9I7S9,Q0KHZ9	Q08BY9,F1QKS4	P27824,O14967	P27825	P36581,Q9P7D0	
KOG1641	1.0	1.0	13	13	7	7	Q9M1C2,O80504,P34893,O65282,Q8LDC9	Q965Q1	Q9VFN5,Q9VU35	Q6IQI7	P61604,S4R3N1	P38910	O59804	Q9M1C2,O80504,P34893,O65282,Q8LDC9	Q965Q1	Q9VFN5,Q9VU35	Q6IQI7	P61604,S4R3N1	P38910	O59804	
KOG0356	1.0	1.0	19	19	7	7	P29197,Q8L7B5,Q93ZM7,P21238,Q56XV8,P21240,Q9LJE4,C0Z361,Q9C667	P50140	O02649,Q9VPS5,Q9VMN5,Q9VJX7	Q803B0	P10809	P19882,P38228	Q09864	P29197,Q8L7B5,Q93ZM7,P21238,Q56XV8,P21240,Q9LJE4,C0Z361,Q9C667	P50140	O02649,Q9VPS5,Q9VMN5,Q9VJX7	Q803B0	P10809	P19882,P38228	Q09864	
KOG0881	1.0	1.0	6	6	6	6	Q9SIH1	Q18445	Q9W0Q2	Q3KR14	Q9Y3C6		P87051	Q9SIH1	Q18445	Q9W0Q2	Q3KR14	Q9Y3C6		P87051	
KOG0880	1.0	1.0	15	15	7	7	P34791,Q9ASS6	P52013,P52014	P15425,Q9W227	F6NLI6,H9GXB9	P23284,P45877	P53728,P23285,P35176,P25334	O94273	P34791,Q9ASS6	P52013,P52014	P15425,Q9W227	F6NLI6,H9GXB9	P23284,P45877	P53728,P23285,P35176,P25334	O94273	
KOG0879	1.0	1.0	6	6	6	6	Q9ZVJ4	P52018	Q4V5H1	Q6TLD7	O43447		O74729	Q9ZVJ4	P52018	Q4V5H1	Q6TLD7	O43447		O74729	
KOG0546	1.0	1.0	17	17	7	7	Q9C566	P52016,Q09637	Q9VT21,Q9VAW1	Q6IQL7,F1QXN7,F1QFU5,F1R3N5,E7F5I0	P30414,Q08752,Q13427,Q8IXY8	P47103,P53691	Q11004	Q9C566	P52016,Q09637	Q9VT21,Q9VAW1	Q6IQL7,F1QXN7,F1QFU5,F1R3N5,E7F5I0	P30414,Q08752,Q13427,Q8IXY8	P47103,P53691	Q11004	
KOG0020	1.0	1.0	5	5	5	5	Q9STX5	Q22235	Q9VAY2	Q7T3L3	P14625			Q9STX5	Q22235	Q9VAY2	Q7T3L3	P14625			
KOG2608	1.0	1.0	10	10	7	7	Q9C7S7,Q7X9I4	Q7YTU4	Q9V3A6	Q7T3D1	Q96HE7,Q86YB8	Q03103	O74401,Q9Y7P1	Q9C7S7,Q7X9I4	Q7YTU4	Q9V3A6	Q7T3D1	Q96HE7,Q86YB8	Q03103	O74401,Q9Y7P1	
KOG0019	1.0	1.0	20	20	7	7	P27323,P51818,O03986,Q9SIF2,F4JFN3,F4K6B6	Q18688,Q2L6Y6	P02828,A1Z6L9	Q90474,O57521,F1Q9X9,Q5RG12	P07900,P08238,Q12931	P15108,P02829	P41887	P27323,P51818,O03986,Q9SIF2,F4JFN3,F4K6B6	Q18688,Q2L6Y6	P02828,A1Z6L9	Q90474,O57521,F1Q9X9,Q5RG12	P07900,P08238,Q12931	P15108,P02829	P41887	
KOG3003	1.0	1.0	12	12	7	7	Q9FLP3,Q8LB47,Q9C8X4,Q9XQC7	Q18421	P48604	Q32PS5,E7F0C3	Q9HAV7,Q8TAA5	P38523	O43047	Q9FLP3,Q8LB47,Q9C8X4,Q9XQC7	Q18421	P48604	Q32PS5,E7F0C3	Q9HAV7,Q8TAA5	P38523	O43047	
