Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG1596	0.92857	0.90909	10	11	7	7	Q9FEF8,Q94AH9,Q9FHB3	Q22053	Q9W1V3,Q9VG21	Q7ZTZ4	A6NHQ2,P22087	P15646	P35551	Q9FEF8,Q94AH9,Q9FHB3	Q22053	Q9W1V3,Q9VG21	Q7ZTZ4	A6NHQ2	P15646	P35551	
KOG4442	0.85714	0.88889	8	9	6	7	Q84WW6,Q2LAE1	A4LBC2,Q21404	Q9VYD1	F1QJI9	Q9BYW2	P46995	O14026	Q84WW6,Q2LAE1	A4LBC2,Q21404	Q9VYD1	F1QJI9		P46995	O14026	
KOG0978	0.85714	0.8	8	10	6	7	Q8RXD6,Q9C895	P34537	Q9VRP9	F1R926	Q5VTR2,O75150	Q07457	Q1MTQ0,O74563	Q8RXD6,Q9C895	P34537	Q9VRP9	F1R926		Q07457	Q1MTQ0,O74563	
KOG0386	0.85714	0.86667	13	15	6	7	Q6EVK6,F4J9M5,F4K128,F4IHS2	G5EF53,P91094	P25439	Q1MTE3,Q7ZSY3	P51531,P51532	P22082,P32597	Q9UTN6,O94421	Q6EVK6,F4J9M5,F4K128,F4IHS2	G5EF53,P91094	P25439	Q1MTE3,Q7ZSY3		P22082,P32597	Q9UTN6,O94421	
KOG1649	0.85714	0.88889	8	9	6	7	P93045	Q21831	Q24090	Q5U379	Q12824	Q06168,P18480	Q9USM3,Q09699	P93045	Q21831	Q24090	Q5U379		Q06168,P18480	Q9USM3,Q09699	
KOG3467	0.85714	0.75	6	8	6	7	P59259	P62784	P84040	A3KPR4	Q99525,P62805	P02309	P09322	P59259	P62784	P84040	A3KPR4		P02309	P09322	
KOG2696	0.85714	0.85714	6	7	6	7	Q9FJT8	Q21484	Q0KIB3	Q66HU5	O14929	Q12341	Q9UTM7	Q9FJT8	Q21484	Q0KIB3	Q66HU5		Q12341	Q9UTM7	
KOG0391	0.85714	0.66667	6	9	6	7	Q7X9V2	Q9NEL2	Q9NDJ2	E7FAZ7	Q6ZTU2,Q96L91,Q6ZRS2	Q05471	O13682	Q7X9V2	Q9NEL2	Q9NDJ2	E7FAZ7		Q05471	O13682	
KOG1942	0.85714	0.85714	6	7	6	7	Q9FMR9	O17607	Q9VH07	Q8AWW7	Q9Y265	Q03940	Q9C0X6	Q9FMR9	O17607	Q9VH07	Q8AWW7		Q03940	Q9C0X6	
KOG3045	0.85714	0.85714	6	7	6	7	Q84JC0	O44410	Q7K2B0	F1R692	O43159	P38961	Q10257	Q84JC0	O44410	Q7K2B0	F1R692		P38961	Q10257	
KOG3490	0.85714	0.875	7	8	6	7	Q94C60,F4KB46	Q9TZ93	Q9TVQ5	Q6DGQ0	P63272	P32914	Q9P7K8	Q94C60,F4KB46	Q9TZ93	Q9TVQ5	Q6DGQ0		P32914	Q9P7K8	
KOG1856	0.85714	0.875	7	8	6	7	A8MS85,Q9CAM1	P34703	Q9W420	Q8UVK2	Q7KZ85	P23615	Q09915	A8MS85,Q9CAM1	P34703	Q9W420	Q8UVK2		P23615	Q09915	
KOG2897	0.85714	0.85714	6	7	6	7	F4IP06	Q93230	Q9VKM6	Q1L8X4	Q15906	Q03388	Q9P790	F4IP06	Q93230	Q9VKM6	Q1L8X4		Q03388	Q9P790	
KOG0008	0.85714	0.77778	7	9	6	7	Q6PUA2,Q8LRK9	G5EGM3	P51123	Q1LYC2	Q8IZX4,P21675	P46677	Q09813	Q6PUA2,Q8LRK9	G5EGM3	P51123	Q1LYC2		P46677	Q09813	
KOG4563	0.85714	0.875	7	8	6	7	Q94K88	Q17886,O17687	Q9I7K6	F1QNE0	P49321	Q12373	Q9USQ4	Q94K88	Q17886,O17687	Q9I7K6	F1QNE0		Q12373	Q9USQ4	
KOG4524	0.85714	0.85714	6	7	6	7	F4IDJ4	Q19378	Q9VH80	E7F9V6	O43156	P36097	O94600	F4IDJ4	Q19378	Q9VH80	E7F9V6		P36097	O94600	
KOG2488	0.85714	0.875	7	8	6	7	F4IAQ4	Q95X11	Q9VAI4	Q568K5,E7EYF8	Q86UY6	Q04751	Q9USH6	F4IAQ4	Q95X11	Q9VAI4	Q568K5,E7EYF8		Q04751	Q9USH6	
KOG1246	0.84127	0.80556	29	36	6	7	Q6BDA0,F4KIX0,Q8GUI6,O64752,C0SUT9,F4I6G4,Q8L7T6,Q9STM3,A0A1P8AP94	Q95QK3,Q23541,A0A131MD13,Q19760,A0A131MBT2	Q9VMJ7,Q9VL07,Q9VT00	Q1LVC2,Q6IQX0,A5WUR6,F1Q597,E7F6J7,A0A8M9QGN3,A1L1S9,B0S6L0	Q92833,P29375,Q9UGL1,P41229,O15550,O15054	Q03214,P47156	Q9US53,Q9HDV4,Q9UT79	Q6BDA0,F4KIX0,Q8GUI6,O64752,C0SUT9,F4I6G4,Q8L7T6,A0A1P8AP94	Q95QK3,Q23541,A0A131MD13,Q19760,A0A131MBT2	Q9VMJ7,Q9VL07,Q9VT00	Q1LVC2,Q6IQX0,A5WUR6,F1Q597,E7F6J7,A0A8M9QGN3,A1L1S9,B0S6L0		Q03214,P47156	Q9US53,Q9HDV4,Q9UT79	
KOG0822	0.83333	0.83333	5	6	5	6	Q8GWT4	P46580	Q9U6Y9		O14744	P38274	P78963	Q8GWT4	P46580	Q9U6Y9			P38274	P78963	
KOG0392	0.83333	0.83333	5	6	5	6	B5BT18	G5EF07	Q9VF02		O14981	P32333	O43065	B5BT18	G5EF07	Q9VF02			P32333	O43065	
KOG4137	0.83333	0.71429	5	7	5	6	Q8RWS0		Q9W3D4	F1R4X0	Q6PI98,K7EIY8	P32617	Q9UTE8	Q8RWS0		Q9W3D4	F1R4X0		P32617	Q9UTE8	
KOG2656	0.83333	0.83333	5	6	5	6	Q8VZL6	A8XQE0	Q7K3D8		Q9NPF5	P53201	O14308	Q8VZL6	A8XQE0	Q7K3D8			P53201	O14308	
KOG2894	0.83333	0.71429	5	7	5	6	Q8H110	Q18691	Q9VAY7	Q568K9	Q14320,Q9Y247		Q7LKZ5	Q8H110	Q18691	Q9VAY7	Q568K9			Q7LKZ5	
KOG1633	0.83333	0.625	10	16	5	6		Q95Q98,Q9GYI0,Q20367	Q9VHH9	Q5RHD1,P0CF52,Q6P949,P0CH95	Q6PCT2,Q9Y2K7,Q8NHM5,Q6ZMT4,O75151,Q9UPP1	P40034	O94603		Q95Q98,Q9GYI0,Q20367	Q9VHH9	Q5RHD1,P0CF52,Q6P949,P0CH95		P40034	O94603	
KOG2684	0.83333	0.83333	10	12	5	6		Q21921	Q9VK34	Q6DHI5,E7F8W3	Q96EB6,Q9NXA8	P53685,P53687,P53688,P06700	Q9UR39,O94640		Q21921	Q9VK34	Q6DHI5,E7F8W3		P53685,P53687,P53688,P06700	Q9UR39,O94640	
KOG1342	0.80952	0.72727	16	22	6	7	Q9M1N8,Q9LXN8,O22446,Q9FML2,Q9FH09,Q8H0W2	O17695,Q09440,G5ECH0	Q94517,Q7KTS4	Q803C3,Q7SXM0	Q13547,Q92769,O15379,Q9BY41	Q12214,P53096,P32561	O59702,O13298	O22446,Q9FML2,Q9FH09,Q8H0W2	O17695,Q09440,G5ECH0	Q94517,Q7KTS4	Q803C3,Q7SXM0		Q12214,P53096,P32561	O59702,O13298	
KOG1508	0.80952	0.47059	8	17	6	7	Q9CA59,Q8LC68	Q18240	P53997	Q6PFI8,A4QNW9,Q7ZUY0	Q4G112,P0DME0,Q01105,Q9H0U9,Q9H2G4,Q9UJ04,Q86VY4,Q8N831	P53853	Q9HGN2	Q9CA59,Q8LC68	Q18240	P53997	Q6PFI8,Q7ZUY0		P53853	Q9HGN2	
KOG1999	0.80952	0.77778	7	9	6	7	F4JW79,Q9STN3,O80770	Q21338	Q9V460	Q9DDT5	O00267	P27692	O13936	F4JW79,O80770	Q21338	Q9V460	Q9DDT5		P27692	O13936	
